Account Statement for: Esha Pathan
Account Number: 877922013661
Registered Phone: 6000451669
----------------------------------------
Date,Narration,Withdrawal,Deposit,Running_Balance
28-01-2025 09:10:08,UPI/P2M/UTR87506/IRCTC/Payment,3605.42,,405130.58
20-02-2025 11:56:00,UPI-MERCHANT-7160477095@okhdfcbank-IRCTC,74642.00,,330488.58
14-03-2025 22:32:47,UPI/P2M/UTR83113//Payment,,15004.12,345492.70
19-03-2025 23:58:41,IMPS/P2A/UTR68690/8068277597,,32928.98,378421.68
26-03-2025 21:25:41,ATM/CASH-WITHDRAWAL/Txn:UTR15423,14537.73,,363883.95
29-03-2025 15:29:03,ATM/CASH-WITHDRAWAL/Txn:UTR34440,3704.55,,360179.40
29-04-2025 00:17:39,UPI-MERCHANT-chandani538@apl-,,1852.09,362031.49
22-05-2025 18:17:29,UPI-MERCHANT-darshand@axl-,,8019.07,370050.56
26-05-2025 05:35:13,ATM/CASH-WITHDRAWAL/Txn:UTR29480,18372.72,,351677.84
01-06-2025 09:30:07,BY CASH DEPOSIT - REF UTR46176,,518.97,352196.81
17-06-2025 01:20:49,BY CASH DEPOSIT - REF UTR26020,,1094.17,353290.98
26-06-2025 13:25:03,CASH-DEP/BRANCH/UTR90591,2933.68,,350357.30
30-06-2025 13:09:50,CASH-DEP/BRANCH/UTR31174,,64055.57,414412.87
16-08-2025 16:21:56,ATM/CASH-WITHDRAWAL/Txn:UTR34551,4418.18,,409994.69
18-08-2025 15:07:47,BY CASH DEPOSIT - REF UTR98461,,75757.77,485752.46
13-09-2025 11:51:51,UPI-MERCHANT-gmukherjee@axl-,,6302.65,492055.11
21-11-2025 15:40:28,ATM/CASH-WITHDRAWAL/Txn:UTR20350,3924.90,,488130.21
