Account Statement for: Girish Verma
Account Number: 554901818752
Registered Phone: 6060422207
----------------------------------------
Date,Narration,Withdrawal,Deposit,Running_Balance
03-01-2025 02:04:57,ATM-WDL/CASH/UTR58842,18622.57,,118280.43
07-01-2025 14:48:17,UPI/P2M/UTR28090//Payment,,7980.31,126260.74
19-01-2025 21:09:25,ATM/CASH-WITHDRAWAL/Txn:UTR40008,,2260.83,128521.57
20-01-2025 05:35:59,ATM/CASH-WITHDRAWAL/Txn:UTR41069,14283.28,,114238.29
20-01-2025 09:44:23,IMPS/P2A/UTR50174/6541196865,,23016.73,137255.02
25-01-2025 23:34:09,CASH-DEP/BRANCH/UTR42343,,47410.76,184665.78
02-02-2025 21:05:00,ATM-WDL/CASH/UTR42111,1030.77,,183635.01
03-02-2025 20:13:00,NEFT-OUTWARD-MANISHA AGARWAL,98324.00,,85311.01
08-02-2025 19:48:52,CASH-DEP/BRANCH/UTR48101,,9823.10,95134.11
11-02-2025 02:11:51,ATM/CASH-WITHDRAWAL/Txn:UTR43805,4325.44,,90808.67
23-02-2025 21:58:19,UPI/P2M/UTR54456/Jio Rechar/Payment,9154.56,,81654.11
27-02-2025 21:08:07,UPI/P2M/UTR87458//Payment,,12712.06,94366.17
17-03-2025 22:44:24,UPI-MERCHANT-chandra668@okaxis-Jio Recharge,7572.93,,86793.24
29-03-2025 02:44:43,UPI-MERCHANT-jayashreework@ybl-,,349.66,87142.90
26-04-2025 21:02:17,UPI/P2M/UTR85690/BookMyShow/Payment,16177.96,,70964.94
10-05-2025 04:01:11,UPI-MERCHANT-ganeshs95@ybl-LIC,22683.51,,48281.43
17-05-2025 01:32:31,UPI-MERCHANT-deepti@paytm-HP Petrol,3958.97,,44322.46
18-05-2025 23:36:53,UPI-MERCHANT-6666720360@axl-Electricity Board,18428.39,,25894.07
19-05-2025 01:14:55,UPI-MERCHANT-kriti327@axl-Flipkart,3412.08,,22481.99
22-05-2025 17:53:07,CASH-DEP/BRANCH/UTR84221,10714.57,,11767.42
31-05-2025 16:36:57,CASH-DEP/BRANCH/UTR89384,,20383.06,32150.48
10-06-2025 09:39:52,BY CASH DEPOSIT - REF UTR29297,,17749.29,49899.77
12-06-2025 09:40:23,UPI-MERCHANT-anaidu@paytm-,,5387.04,55286.81
19-06-2025 09:46:55,UPI/P2M/UTR30387/Airtel Rec/Payment,10572.20,,44714.61
22-06-2025 14:47:00,UPI/P2M/UTR26490/Bharat Pet/Payment,6461.03,,38253.58
22-06-2025 23:23:31,ATM/CASH-WITHDRAWAL/Txn:UTR34130,,1938.09,40191.67
26-06-2025 03:15:29,ATM/CASH-WITHDRAWAL/Txn:UTR28866,,1406.22,41597.89
11-08-2025 08:15:26,CASH-DEP/BRANCH/UTR57539,,29716.07,71313.96
22-08-2025 22:04:06,ATM-WDL/CASH/UTR18562,16281.50,,55032.46
27-08-2025 17:56:26,ATM-WDL/CASH/UTR21163,16473.21,,38559.25
28-08-2025 03:56:10,UPI-MERCHANT-kunal281@ibl-Income Tax,12311.58,,26247.67
28-08-2025 17:55:33,ATM/CASH-WITHDRAWAL/Txn:UTR18949,,10921.35,37169.02
05-09-2025 19:16:05,CASH-DEP/BRANCH/UTR36882,,2875.79,40044.81
09-09-2025 01:27:37,BY CASH DEPOSIT - REF UTR94168,28559.05,,11485.76
18-09-2025 06:26:03,CASH-DEP/BRANCH/UTR13696,,36828.47,48314.23
28-09-2025 08:01:15,BY CASH DEPOSIT - REF UTR31416,167511.51,,-119197.28
29-09-2025 18:12:29,UPI/P2M/UTR76736//Payment,,11096.44,-108100.84
30-09-2025 12:08:09,BY CASH DEPOSIT - REF UTR19761,,14671.72,-93429.12
01-10-2025 00:49:03,BY CASH DEPOSIT - REF UTR98647,,43715.18,-49713.94
12-10-2025 19:48:46,IMPS/P2A/UTR46899/9328653199,,152109.09,102395.15
08-11-2025 23:42:56,UPI/P2M/UTR48776//Payment,,7525.35,109920.50
14-11-2025 03:00:24,UPI-MERCHANT-9508516277@oksbi-BookMyShow,6168.12,,103752.38
18-11-2025 04:12:00,UPI/P2M/UTR13584/Water Boar/Payment,7760.58,,95991.80
27-11-2025 01:28:03,ATM/CASH-WITHDRAWAL/Txn:UTR95821,11376.33,,84615.47
05-12-2025 00:11:08,UPI-MERCHANT-8000471382@axl-,,13525.94,98141.41
10-12-2025 00:52:16,ATM/CASH-WITHDRAWAL/Txn:UTR95144,,6242.21,104383.62
17-12-2025 17:17:06,ATM-WDL/CASH/UTR19680,,14057.93,118441.55
