Account Statement for: Gauri Ghosh
Account Number: 191317219270
Registered Phone: 6084983706
----------------------------------------
Date,Narration,Withdrawal,Deposit,Running_Balance
09-01-2025 01:51:55,IMPS/P2A/UTR89793/8209668727,18347.46,,22572.54
13-01-2025 09:23:39,IMPS/P2A/UTR74789/6897235687,126935.88,,-104363.34
23-01-2025 02:55:25,ATM/CASH-WITHDRAWAL/Txn:UTR12469,,21526.13,-82837.21
11-02-2025 10:35:44,CASH-DEP/BRANCH/UTR49774,35148.49,,-117985.70
13-02-2025 20:10:59,UPI/P2M/UTR43224/LIC/Payment,3433.70,,-121419.40
14-02-2025 05:23:43,UPI-MERCHANT-9493846761@axl-,,8854.61,-112564.79
16-02-2025 11:30:58,CASH-DEP/BRANCH/UTR75031,45045.29,,-157610.08
16-02-2025 22:17:35,UPI-MERCHANT-kabir738@okhdfcbank-Uber,23791.09,,-181401.17
08-03-2025 14:50:00,UPI-MERCHANT-monica783@ibl-Income Tax,22892.00,,-204293.17
17-03-2025 06:23:28,ATM/CASH-WITHDRAWAL/Txn:UTR49693,3960.59,,-208253.76
24-03-2025 00:50:23,IMPS/P2A/UTR88076/6861162202,131180.34,,-339434.10
26-03-2025 20:07:16,UPI-MERCHANT-6564191704@ybl-BigBasket,7821.61,,-347255.71
09-04-2025 12:22:24,IMPS-FUNDS-TRF-NIRMAL BOS-UTR85143,,43804.42,-303451.29
25-04-2025 01:24:25,UPI/P2M/UTR75088/DMart/Payment,3845.11,,-307296.40
09-05-2025 18:13:38,ATM-WDL/CASH/UTR89887,15410.67,,-322707.07
10-05-2025 06:34:21,UPI/P2M/UTR30966/Indian Oil/Payment,2193.75,,-324900.82
17-05-2025 23:31:40,UPI/P2M/UTR50496//Payment,,19071.14,-305829.68
20-05-2025 18:50:28,IMPS/P2A/UTR35895/9159734633,43495.92,,-349325.60
25-05-2025 05:04:08,ATM-WDL/CASH/UTR55357,3137.18,,-352462.78
31-05-2025 10:49:45,UPI-MERCHANT-7160477095@okhdfcbank-Zomato,19825.71,,-372288.49
06-06-2025 19:50:55,ATM/CASH-WITHDRAWAL/Txn:UTR30936,,13397.93,-358890.56
09-06-2025 09:57:10,UPI-MERCHANT-geeta229@okhdfcbank-,,13836.53,-345054.03
10-06-2025 15:43:24,UPI-MERCHANT-7438077624@paytm-,,17281.13,-327772.90
19-06-2025 16:49:04,BY CASH DEPOSIT - REF UTR87947,,56673.30,-271099.60
06-07-2025 03:42:41,ATM-WDL/CASH/UTR38135,,4795.46,-266304.14
09-07-2025 02:10:56,BY CASH DEPOSIT - REF UTR68377,,22497.93,-243806.21
12-07-2025 20:46:58,ATM/CASH-WITHDRAWAL/Txn:UTR74658,,20999.80,-222806.41
03-08-2025 04:08:10,ATM-WDL/CASH/UTR32224,,2379.04,-220427.37
04-08-2025 13:59:00,IMPS/P2A/UTR44511/9701145555,4148.25,,-224575.62
08-08-2025 16:37:01,UPI/P2M/UTR64414//Payment,,6950.54,-217625.08
09-08-2025 16:06:04,UPI/P2M/UTR97815//Payment,,20649.40,-196975.68
11-08-2025 20:54:17,UPI/P2M/UTR66099/DMart/Payment,18278.41,,-215254.09
19-08-2025 13:58:27,ATM/CASH-WITHDRAWAL/Txn:UTR14754,8748.89,,-224002.98
11-09-2025 11:31:18,BY CASH DEPOSIT - REF UTR48499,2506.73,,-226509.71
12-09-2025 14:43:50,ATM/CASH-WITHDRAWAL/Txn:UTR72222,3009.71,,-229519.42
14-09-2025 09:31:43,IMPS/P2A/UTR58165/8862004084,93233.74,,-322753.16
26-09-2025 09:46:58,UPI-MERCHANT-9313488362@ybl-LIC,3271.40,,-326024.56
28-09-2025 07:59:26,IMPS-FUNDS-TRF-NANDITA PA-UTR57510,,36548.66,-289475.90
28-09-2025 20:00:06,UPI-MERCHANT-ikrishnan@okaxis-Water Board,22576.28,,-312052.18
04-10-2025 13:47:21,ATM-WDL/CASH/UTR91085,,5275.39,-306776.79
14-10-2025 01:01:25,ATM-WDL/CASH/UTR74048,14561.90,,-321338.69
16-10-2025 13:13:05,IMPS-FUNDS-TRF-MAYANK BHA-UTR13770,32049.99,,-353388.68
24-10-2025 17:32:18,ATM-WDL/CASH/UTR43219,,2938.48,-350450.20
29-10-2025 01:57:55,IMPS-FUNDS-TRF-LATA GOEL-UTR99682,,36397.89,-314052.31
02-11-2025 16:08:57,ATM/CASH-WITHDRAWAL/Txn:UTR96197,7890.00,,-321942.31
03-11-2025 06:55:35,UPI-MERCHANT-shikhawork@paytm-Ola,17576.16,,-339518.47
12-11-2025 02:10:59,ATM/CASH-WITHDRAWAL/Txn:UTR15728,,17167.45,-322351.02
17-11-2025 09:11:29,UPI-MERCHANT-abhay@ibl-,,8028.06,-314322.96
13-12-2025 06:11:11,ATM/CASH-WITHDRAWAL/Txn:UTR49969,,3472.85,-310850.11
14-12-2025 08:15:40,ATM/CASH-WITHDRAWAL/Txn:UTR97088,,4488.80,-306361.31
19-12-2025 05:18:39,ATM-WDL/CASH/UTR98071,17401.43,,-323762.74
21-12-2025 14:29:32,UPI-MERCHANT-8926189084@paytm-,,23317.77,-300444.97
26-12-2025 17:28:17,UPI-MERCHANT-atharva@ybl-Flipkart,5914.89,,-306359.86
