Account Statement for: Puneet Mittal
Account Number: 874483900311
Registered Phone: 6150872743
----------------------------------------
Date,Narration,Withdrawal,Deposit,Running_Balance
15-02-2025 22:57:16,UPI/P2M/UTR99358/Income Tax/Payment,15970.22,,186823.78
01-03-2025 07:30:27,IMPS/P2A/UTR21710/9912838915,172844.01,,13979.77
06-03-2025 08:35:44,CASH-DEP/BRANCH/UTR95310,,875.37,14855.14
16-04-2025 15:09:00,UPI-MERCHANT-9255680366@apl-Income Tax,91860.00,,-77004.86
20-04-2025 10:26:18,ATM-WDL/CASH/UTR63362,,38945.59,-38059.27
08-05-2025 23:38:44,UPI/P2M/UTR72181//Payment,,19715.00,-18344.27
04-06-2025 21:39:41,ATM-WDL/CASH/UTR71803,14888.98,,-33233.25
07-06-2025 02:40:47,ATM-WDL/CASH/UTR60906,,2129.09,-31104.16
18-06-2025 09:38:37,UPI-MERCHANT-rajats77@oksbi-,,5602.92,-25501.24
19-07-2025 02:09:24,UPI/P2M/UTR77413/BookMyShow/Payment,3179.35,,-28680.59
28-07-2025 07:15:39,ATM/CASH-WITHDRAWAL/Txn:UTR72257,4109.08,,-32789.67
05-08-2025 15:41:51,UPI-MERCHANT-9180137802@ibl-,,5885.45,-26904.22
02-10-2025 03:52:13,CASH-DEP/BRANCH/UTR61119,,44294.69,17390.47
21-10-2025 00:57:45,ATM/CASH-WITHDRAWAL/Txn:UTR64449,981.28,,16409.19
