Account Statement for: Dinesh Mohanty
Account Number: 378438006324
Registered Phone: 6181430239
----------------------------------------
Date,Narration,Withdrawal,Deposit,Running_Balance
02-01-2025 21:15:55,IMPS/P2A/UTR40482/9261484401,45392.36,,96961.64
06-01-2025 08:59:29,BY CASH DEPOSIT - REF UTR96041,,26940.17,123901.81
21-01-2025 21:31:06,ATM-WDL/CASH/UTR48856,,1623.18,125524.99
06-02-2025 17:37:45,UPI/P2M/UTR67903/DMart/Payment,23765.75,,101759.24
17-02-2025 17:42:34,ATM-WDL/CASH/UTR75789,13150.33,,88608.91
16-03-2025 08:57:26,ATM-WDL/CASH/UTR73881,,4491.46,93100.37
20-03-2025 13:07:21,UPI/P2M/UTR17152/BigBasket/Payment,23640.38,,69459.99
17-04-2025 16:01:11,CASH-DEP/BRANCH/UTR43902,,31740.62,101200.61
22-04-2025 02:28:36,UPI-MERCHANT-megha199@okhdfcbank-IRCTC,5385.66,,95814.95
17-05-2025 22:57:47,ATM/CASH-WITHDRAWAL/Txn:UTR65785,,16734.11,112549.06
20-05-2025 22:48:45,UPI-MERCHANT-kusumt23@axl-,,1087.50,113636.56
10-07-2025 04:46:33,ATM-WDL/CASH/UTR86054,13514.38,,100122.18
01-08-2025 17:25:08,UPI/P2M/UTR32930//Payment,,21192.81,121314.99
22-08-2025 00:16:59,IMPS/P2A/UTR45527/8981781049,22797.68,,98517.31
02-09-2025 01:11:42,UPI/P2M/UTR19488/Uber/Payment,20781.88,,77735.43
12-09-2025 06:29:00,ATM-WDL/CASH/UTR58708,,2383.30,80118.73
22-09-2025 01:47:27,IMPS/P2A/UTR87569/7113930746,42320.35,,37798.38
17-11-2025 04:55:55,CASH-DEP/BRANCH/UTR23193,47513.14,,-9714.76
23-11-2025 22:37:25,ATM/CASH-WITHDRAWAL/Txn:UTR84462,18669.51,,-28384.27
27-11-2025 23:04:32,IMPS-FUNDS-TRF-MALINI MIS-UTR63708,19178.82,,-47563.09
28-11-2025 12:32:11,ATM/CASH-WITHDRAWAL/Txn:UTR66330,,3258.08,-44305.01
29-11-2025 16:59:46,ATM-WDL/CASH/UTR35589,771.40,,-45076.41
01-12-2025 03:46:44,ATM-WDL/CASH/UTR16678,2513.44,,-47589.85
08-12-2025 20:47:44,CASH-DEP/BRANCH/UTR73702,,11849.61,-35740.24
10-12-2025 12:01:00,NEFT-OUTWARD-KUSH PANDYA,10271.00,,-46011.24
