Account Statement for: Kaushal Barik
Account Number: 968658495736
Registered Phone: 6187949263
----------------------------------------
Date,Narration,Withdrawal,Deposit,Running_Balance
07-01-2025 07:53:05,ATM-WDL/CASH/UTR10464,,10077.77,408025.77
16-01-2025 10:09:18,UPI-MERCHANT-6647331846@okaxis-Income Tax,2688.79,,405336.98
19-01-2025 05:47:47,CASH-DEP/BRANCH/UTR99197,19137.57,,386199.41
21-01-2025 10:40:15,UPI-MERCHANT-8347779013@okaxis-,,1290.92,387490.33
22-01-2025 07:29:08,UPI-MERCHANT-kanikas38@oksbi-,,24295.18,411785.51
08-02-2025 11:48:20,ATM/CASH-WITHDRAWAL/Txn:UTR28554,,12621.85,424407.36
23-02-2025 19:00:29,UPI-MERCHANT-sahil63@okhdfcbank-,,6921.18,431328.54
29-03-2025 18:30:45,ATM/CASH-WITHDRAWAL/Txn:UTR61427,11506.61,,419821.93
18-04-2025 13:31:45,IMPS/P2A/UTR81547/6530266675,,43375.38,463197.31
23-04-2025 04:02:34,UPI/P2M/UTR11498/Indian Oil/Payment,21967.60,,441229.71
26-04-2025 11:20:18,IMPS-FUNDS-TRF-BHOOMI PER-UTR34602,164921.55,,276308.16
08-05-2025 18:12:44,ATM/CASH-WITHDRAWAL/Txn:UTR26474,14127.56,,262180.60
19-05-2025 03:07:03,UPI-MERCHANT-piyush@apl-Jio Recharge,7064.13,,255116.47
19-05-2025 09:05:01,BY CASH DEPOSIT - REF UTR67969,28417.59,,226698.88
29-05-2025 21:29:13,ATM/CASH-WITHDRAWAL/Txn:UTR76807,,10465.36,237164.24
01-06-2025 11:48:51,ATM/CASH-WITHDRAWAL/Txn:UTR71945,9999.43,,227164.81
01-06-2025 14:12:00,NEFT/TXN/UTR70638/TO-6647331846,37422.00,,189742.81
07-06-2025 14:15:50,BY CASH DEPOSIT - REF UTR40035,42203.05,,147539.76
08-06-2025 09:12:53,ATM-WDL/CASH/UTR79370,18592.30,,128947.46
09-06-2025 01:09:56,BY CASH DEPOSIT - REF UTR17131,25120.20,,103827.26
15-06-2025 11:05:37,UPI/P2M/UTR16890/Income Tax/Payment,3225.67,,100601.59
21-06-2025 14:28:30,BY CASH DEPOSIT - REF UTR44352,22173.92,,78427.67
12-07-2025 18:16:23,BY CASH DEPOSIT - REF UTR10790,,21667.03,100094.70
13-07-2025 06:49:10,UPI-MERCHANT-ravindra24@ibl-,,20351.73,120446.43
24-07-2025 23:10:22,ATM/CASH-WITHDRAWAL/Txn:UTR16704,,22487.36,142933.79
26-07-2025 13:02:52,TXN-CASH-UTR64705-8242972259,,6666.80,149600.59
08-08-2025 20:34:04,BY CASH DEPOSIT - REF UTR54788,,23612.47,173213.06
16-08-2025 20:08:54,ATM/CASH-WITHDRAWAL/Txn:UTR77229,1554.91,,171658.15
18-09-2025 03:09:22,UPI-MERCHANT-jagrutin@oksbi-,,13106.89,184765.04
22-09-2025 02:46:51,UPI/P2M/UTR66306/Blinkit/Payment,64916.83,,119848.21
01-10-2025 05:18:00,BY CASH DEPOSIT - REF UTR97705,5920.39,,113927.82
05-10-2025 15:57:35,UPI/P2M/UTR76649//Payment,,5848.30,119776.12
16-10-2025 22:39:28,ATM-WDL/CASH/UTR48068,15909.96,,103866.16
22-10-2025 03:03:34,IMPS/P2A/UTR40996/8821059883,,6461.79,110327.95
04-11-2025 00:48:46,ATM-WDL/CASH/UTR88786,17130.28,,93197.67
10-11-2025 18:15:19,ATM/CASH-WITHDRAWAL/Txn:UTR57592,6208.79,,86988.88
03-12-2025 15:09:33,ATM/CASH-WITHDRAWAL/Txn:UTR13380,15639.48,,71349.40
08-12-2025 06:50:15,ATM/CASH-WITHDRAWAL/Txn:UTR59996,,13862.89,85212.29
10-12-2025 09:03:13,UPI/P2M/UTR21589/Flipkart/Payment,18661.31,,66550.98
26-12-2025 14:28:37,UPI-MERCHANT-9421389179@okhdfcbank-,,23400.08,89951.06
