Account Statement for: Ankita Singh
Account Number: 721652303054
Registered Phone: 6207440957
----------------------------------------
Date,Narration,Withdrawal,Deposit,Running_Balance
15-01-2025 12:53:08,CASH-DEP/BRANCH/UTR37754,,38668.19,515191.19
12-02-2025 02:09:23,UPI-MERCHANT-6704092133@ibl-,,5370.34,520561.53
12-02-2025 13:47:50,ATM-WDL/CASH/UTR16724,5695.27,,514866.26
26-02-2025 17:59:58,CASH-DEP/BRANCH/UTR42381,42355.97,,472510.29
02-03-2025 12:15:00,UPI-REV/9527662100/GOPAL SH/UTR16724,73977.00,,398533.29
06-04-2025 18:38:23,ATM-WDL/CASH/UTR29965,,12276.45,410809.74
10-05-2025 18:06:37,UPI/P2M/UTR41190//Payment,,5517.79,416327.53
18-05-2025 06:31:52,BY CASH DEPOSIT - REF UTR55621,6409.24,,409918.29
21-05-2025 17:05:04,UPI-MERCHANT-kanika998@axl-,,3180.14,413098.43
31-05-2025 09:01:42,CASH-DEP/BRANCH/UTR96184,,17631.25,430729.68
13-06-2025 18:01:46,CASH-DEP/BRANCH/UTR87195,42153.62,,388576.06
23-06-2025 19:31:22,UPI-MERCHANT-6934046510@ibl-,,881.83,389457.89
25-06-2025 00:55:00,CASH-DEP/BRANCH/UTR61987,,2582.90,392040.79
09-07-2025 21:42:25,UPI-MERCHANT-navyab46@ybl-Electricity Board,21624.95,,370415.84
11-07-2025 10:49:05,ATM-WDL/CASH/UTR46700,162.99,,370252.85
15-07-2025 07:32:09,UPI/P2M/UTR12227//Payment,,14283.67,384536.52
18-07-2025 19:34:39,BY CASH DEPOSIT - REF UTR49650,19535.86,,365000.66
19-07-2025 10:07:55,ATM/CASH-WITHDRAWAL/Txn:UTR89745,5421.62,,359579.04
09-08-2025 09:34:05,UPI-MERCHANT-8664391475@paytm-,,7002.09,366581.13
15-08-2025 23:10:48,CASH-DEP/BRANCH/UTR79434,,72254.34,438835.47
28-08-2025 02:09:44,ATM/CASH-WITHDRAWAL/Txn:UTR59303,12653.23,,426182.24
30-08-2025 09:05:19,UPI-MERCHANT-kalpana841@oksbi-Swiggy,9042.10,,417140.14
04-09-2025 06:16:01,UPI/P2M/UTR52209//Payment,,19563.02,436703.16
18-09-2025 06:19:33,ATM/CASH-WITHDRAWAL/Txn:UTR57970,,19852.53,456555.69
23-09-2025 01:51:14,ATM-WDL/CASH/UTR84870,12626.36,,443929.33
24-09-2025 14:22:23,ATM-WDL/CASH/UTR87793,,1302.12,445231.45
27-09-2025 04:53:18,BY CASH DEPOSIT - REF UTR95151,,93096.25,538327.70
29-09-2025 20:43:43,ATM/CASH-WITHDRAWAL/Txn:UTR96175,,19834.71,558162.41
05-10-2025 15:57:35,UPI/P2M/UTR76649/Indian Oil/Payment,5848.30,,552314.11
09-10-2025 15:13:28,IMPS/P2A/UTR40656/8756810071,,1828.63,554142.74
18-10-2025 07:09:40,UPI-MERCHANT-raj831@oksbi-Flipkart,16570.19,,537572.55
20-10-2025 14:08:03,UPI-MERCHANT-drishtiwork@apl-Zomato,1115.14,,536457.41
20-10-2025 23:55:28,UPI/P2M/UTR75110//Payment,,7912.05,544369.46
21-10-2025 06:22:50,UPI/P2M/UTR91837/Zomato/Payment,9336.78,,535032.68
25-10-2025 23:16:29,UPI-MERCHANT-rajesh57@okaxis-Myntra,135.73,,534896.95
01-11-2025 14:27:19,BY CASH DEPOSIT - REF UTR96893,15815.16,,519081.79
02-11-2025 00:28:25,ATM-WDL/CASH/UTR57512,13474.05,,505607.74
08-11-2025 03:01:59,ATM/CASH-WITHDRAWAL/Txn:UTR11967,,19530.46,525138.20
11-11-2025 14:22:13,ATM/CASH-WITHDRAWAL/Txn:UTR54959,16585.29,,508552.91
12-11-2025 18:51:38,CASH-DEP/BRANCH/UTR45244,,110034.58,618587.49
16-11-2025 15:48:40,ATM/CASH-WITHDRAWAL/Txn:UTR79985,,7338.26,625925.75
19-11-2025 12:13:08,UPI/P2M/UTR68449//Payment,,20963.80,646889.55
21-11-2025 10:20:17,CASH-DEP/BRANCH/UTR66213,41027.25,,605862.30
01-12-2025 15:10:59,ATM-WDL/CASH/UTR40446,,9437.41,615299.71
04-12-2025 23:45:52,CASH-DEP/BRANCH/UTR30020,,12992.56,628292.27
06-12-2025 01:08:05,UPI/P2M/UTR46657//Payment,,21543.81,649836.08
13-12-2025 11:29:00,IMPS-FUNDS-TRF-ADITI MITT-UTR66493,,132186.76,782022.84
15-12-2025 18:12:03,IMPS-FUNDS-TRF-NUTAN BAGC-UTR63110,,13909.21,795932.05
20-12-2025 22:23:25,ATM/CASH-WITHDRAWAL/Txn:UTR26547,,7338.78,803270.83
25-12-2025 00:55:04,BY CASH DEPOSIT - REF UTR27630,,11814.66,815085.49
25-12-2025 22:52:54,ATM-WDL/CASH/UTR20800,,29336.84,844422.33
30-12-2025 14:25:28,ATM/CASH-WITHDRAWAL/Txn:UTR60926,31127.30,,813295.03
