Account Statement for: Hitesh Bagchi
Account Number: 938239384852
Registered Phone: 6237507351
----------------------------------------
Date,Narration,Withdrawal,Deposit,Running_Balance
21-01-2025 17:39:00,UPI-REV/9721780232/ROSHAN S/UTR40705,37222.00,,336992.00
27-01-2025 08:11:34,ATM-WDL/CASH/UTR34179,,15751.85,352743.85
01-02-2025 13:01:30,UPI-MERCHANT-pooja614@okhdfcbank-,,2934.13,355677.98
17-02-2025 20:20:07,UPI/P2M/UTR68347//Payment,,18573.33,374251.31
21-02-2025 15:57:12,CASH-DEP/BRANCH/UTR74857,,9533.87,383785.18
06-03-2025 19:30:41,CASH-DEP/BRANCH/UTR89210,,2956.73,386741.91
09-03-2025 04:58:04,ATM/CASH-WITHDRAWAL/Txn:UTR40705,2208.46,,384533.45
10-03-2025 04:48:23,UPI/P2M/UTR26223/Zomato/Payment,6385.61,,378147.84
21-03-2025 09:59:28,UPI-MERCHANT-isha742@paytm-,,1462.44,379610.28
29-03-2025 14:17:05,ATM/CASH-WITHDRAWAL/Txn:UTR94000,9929.87,,369680.41
20-06-2025 08:55:49,ATM/CASH-WITHDRAWAL/Txn:UTR84770,14543.47,,355136.94
06-07-2025 06:36:03,UPI/P2M/UTR45914//Payment,,4434.95,359571.89
22-07-2025 23:30:17,UPI/P2M/UTR68070//Payment,,7779.25,367351.14
03-08-2025 13:50:34,ATM/CASH-WITHDRAWAL/Txn:UTR79110,5291.01,,362060.13
11-09-2025 02:45:37,ATM/CASH-WITHDRAWAL/Txn:UTR62525,16847.56,,345212.57
26-09-2025 18:10:14,ATM-WDL/CASH/UTR39378,6195.04,,339017.53
27-09-2025 19:49:33,ATM-WDL/CASH/UTR75431,2905.91,,336111.62
29-09-2025 04:47:04,UPI/P2M/UTR67094//Payment,,20126.12,356237.74
05-10-2025 21:34:43,ATM/CASH-WITHDRAWAL/Txn:UTR76431,,3136.26,359374.00
01-11-2025 20:31:58,CASH-DEP/BRANCH/UTR40553,,42110.21,401484.21
03-11-2025 06:14:16,UPI-MERCHANT-aadhya@okhdfcbank-Ola,10448.75,,391035.46
30-11-2025 08:36:21,IMPS-FUNDS-TRF-RITIK MISH-UTR78778,33119.37,,357916.09
16-12-2025 01:57:24,ATM/CASH-WITHDRAWAL/Txn:UTR36252,,4832.04,362748.13
