Account Statement for: Sneha Prasad
Account Number: 122079298676
Registered Phone: 6242180090
----------------------------------------
Date,Narration,Withdrawal,Deposit,Running_Balance
14-01-2025 21:40:00,NEFT/TXN/UTR74593/TO-9967355606,62615.00,,431226.00
30-01-2025 02:34:32,ATM-WDL/CASH/UTR66845,,1534.70,432760.70
12-02-2025 19:02:22,UPI-MERCHANT-8185194936@okaxis-,,9361.30,442122.00
09-03-2025 04:36:16,ATM-WDL/CASH/UTR25905,,9367.82,451489.82
25-03-2025 19:30:58,BY CASH DEPOSIT - REF UTR66674,,14261.51,465751.33
22-04-2025 16:43:37,ATM-WDL/CASH/UTR54057,,5792.13,471543.46
24-04-2025 20:05:51,BY CASH DEPOSIT - REF UTR40076,,124332.32,595875.78
06-06-2025 16:22:30,UPI-MERCHANT-kalyan545@oksbi-,,16594.09,612469.87
22-06-2025 01:40:22,UPI-MERCHANT-6564191704@ybl-,,20528.72,632998.59
18-07-2025 17:59:50,UPI-MERCHANT-6211390305@ybl-,,6912.32,639910.91
16-08-2025 19:26:38,BY CASH DEPOSIT - REF UTR74593,107728.26,,532182.65
27-08-2025 10:19:16,ATM-WDL/CASH/UTR36009,,14619.85,546802.50
03-10-2025 21:07:22,ATM-WDL/CASH/UTR23395,9223.53,,537578.97
04-10-2025 03:01:36,BY CASH DEPOSIT - REF UTR89576,,37928.99,575507.96
08-11-2025 05:24:24,ATM/CASH-WITHDRAWAL/Txn:UTR79272,,18957.80,594465.76
17-11-2025 08:25:14,UPI/P2M/UTR31188/Apollo Pha/Payment,22863.01,,571602.75
19-11-2025 23:15:34,CASH-DEP/BRANCH/UTR73846,7163.11,,564439.64
23-11-2025 21:04:02,IMPS-FUNDS-TRF-JYOTIR BIS-UTR87519,,16220.30,580659.94
24-11-2025 22:39:03,IMPS-FUNDS-TRF-RADHIKA GU-UTR14801,7024.87,,573635.07
02-12-2025 02:37:56,UPI-MERCHANT-shruti906@ybl-,,14584.23,588219.30
15-12-2025 01:25:13,ATM/CASH-WITHDRAWAL/Txn:UTR77467,12065.81,,576153.49
28-12-2025 09:14:05,ATM/CASH-WITHDRAWAL/Txn:UTR13697,,3033.74,579187.23
