Account Statement for: Sonali Srivastava
Account Number: 410826513930
Registered Phone: 6259148611
----------------------------------------
Date,Narration,Withdrawal,Deposit,Running_Balance
10-01-2025 14:23:23,UPI/P2M/UTR84557/DMart/Payment,15361.81,,319139.19
15-01-2025 07:49:47,ATM-WDL/CASH/UTR47148,4971.20,,314167.99
19-01-2025 21:22:04,ATM-WDL/CASH/UTR64245,3893.80,,310274.19
22-01-2025 22:19:14,UPI-MERCHANT-rohitwork@axl-LIC,18163.14,,292111.05
24-01-2025 23:39:20,UPI-MERCHANT-jagruti@paytm-Water Board,11760.87,,280350.18
11-02-2025 15:47:59,ATM-WDL/CASH/UTR28529,,9548.81,289898.99
17-02-2025 08:43:02,CASH-DEP/BRANCH/UTR51872,,40912.37,330811.36
18-02-2025 01:40:24,UPI/P2M/UTR16075/IRCTC/Payment,14392.78,,316418.58
22-02-2025 02:40:27,ATM/CASH-WITHDRAWAL/Txn:UTR96654,,10431.18,326849.76
24-02-2025 11:04:30,ATM/CASH-WITHDRAWAL/Txn:UTR77793,8289.31,,318560.45
24-02-2025 18:59:04,ATM/CASH-WITHDRAWAL/Txn:UTR86157,,9237.58,327798.03
26-02-2025 19:11:06,ATM/CASH-WITHDRAWAL/Txn:UTR21023,5474.72,,322323.31
22-03-2025 04:28:55,BY CASH DEPOSIT - REF UTR88901,,87603.94,409927.25
29-03-2025 07:45:02,UPI-MERCHANT-jagruti793@okaxis-Bharat Petroleum,15256.53,,394670.72
07-04-2025 08:10:29,ATM/CASH-WITHDRAWAL/Txn:UTR51737,8985.38,,385685.34
12-04-2025 14:25:44,ATM/CASH-WITHDRAWAL/Txn:UTR21924,3193.32,,382492.02
19-04-2025 05:49:32,UPI/P2M/UTR30162//Payment,,8664.58,391156.60
24-04-2025 03:37:02,IMPS/P2A/UTR13793/7546122102,,35789.27,426945.87
11-05-2025 02:44:23,ATM/CASH-WITHDRAWAL/Txn:UTR84285,,17402.55,444348.42
12-05-2025 23:58:45,UPI-MERCHANT-latikab29@okaxis-,,1732.10,446080.52
17-05-2025 18:08:16,ATM/CASH-WITHDRAWAL/Txn:UTR10653,13925.04,,432155.48
18-05-2025 03:17:48,ATM/CASH-WITHDRAWAL/Txn:UTR67163,1084.45,,431071.03
27-05-2025 03:42:55,UPI-MERCHANT-himesh151@ibl-Amazon,10057.51,,421013.52
08-06-2025 16:54:41,ATM/CASH-WITHDRAWAL/Txn:UTR80552,3958.51,,417055.01
09-06-2025 19:14:25,CASH-DEP/BRANCH/UTR62874,,8077.32,425132.33
11-06-2025 05:25:17,BY CASH DEPOSIT - REF UTR42162,32746.84,,392385.49
06-07-2025 08:55:00,TXN-POS-UTR37739-7887149781,,24017.19,416402.68
06-07-2025 22:13:38,CASH-DEP/BRANCH/UTR74972,,19450.13,435852.81
07-07-2025 20:58:55,IMPS/P2A/UTR50369/6048012150,3835.28,,432017.53
09-07-2025 00:45:11,ATM-WDL/CASH/UTR15097,14586.30,,417431.23
16-07-2025 02:26:46,ATM/CASH-WITHDRAWAL/Txn:UTR19484,7748.68,,409682.55
26-07-2025 17:06:48,BY CASH DEPOSIT - REF UTR86877,12690.03,,396992.52
03-08-2025 01:36:43,ATM-WDL/CASH/UTR70155,,15638.27,412630.79
09-08-2025 14:00:13,UPI/P2M/UTR67489//Payment,,18067.07,430697.86
28-08-2025 04:20:08,UPI/P2M/UTR48508//Payment,,19998.27,450696.13
01-09-2025 17:49:06,IMPS/P2A/UTR23288/8011892832,,28764.43,479460.56
19-09-2025 04:35:03,ATM-WDL/CASH/UTR20083,12201.84,,467258.72
29-10-2025 06:52:42,UPI/P2M/UTR45885//Payment,,5499.34,472758.06
08-11-2025 14:40:25,ATM-WDL/CASH/UTR10427,14690.40,,458067.66
30-11-2025 05:09:18,ATM/CASH-WITHDRAWAL/Txn:UTR52285,1098.10,,456969.56
04-12-2025 14:04:22,ATM-WDL/CASH/UTR16338,,17596.76,474566.32
04-12-2025 14:48:00,UPI/P2M/UTR49532/Airtel Rec/Payment,24323.74,,450242.58
25-12-2025 11:50:00,NEFT/TXN/UTR84557/TO-9019917994,50941.00,,399301.58
25-12-2025 22:24:07,ATM-WDL/CASH/UTR52953,8439.58,,390862.00
25-12-2025 23:31:39,ATM-WDL/CASH/UTR17975,,19601.58,410463.58
