Account Statement for: Sanjeev Bora
Account Number: 275386678081
Registered Phone: 6288286822
----------------------------------------
Date,Narration,Withdrawal,Deposit,Running_Balance
28-01-2025 13:45:11,UPI/P2M/UTR70733/Swiggy/Payment,12002.22,,397979.78
01-02-2025 08:40:05,CASH-DEP/BRANCH/UTR45342,,41858.21,439837.99
18-02-2025 00:56:54,UPI/P2M/UTR52738/Uber/Payment,13405.33,,426432.66
01-03-2025 02:26:13,UPI-MERCHANT-jeevan430@okaxis-,,8778.64,435211.30
06-03-2025 06:58:34,UPI/P2M/UTR65599//Payment,,20917.94,456129.24
07-03-2025 19:03:08,UPI-MERCHANT-pritam116@paytm-,,11957.17,468086.41
26-03-2025 20:17:00,UPI-MERCHANT-8936078508@paytm-Swiggy,76569.00,,391517.41
19-04-2025 22:36:19,UPI/P2M/UTR30907//Payment,,7203.47,398720.88
03-05-2025 03:58:09,UPI/P2M/UTR49891/Amazon/Payment,22037.63,,376683.25
09-05-2025 13:05:14,ATM/CASH-WITHDRAWAL/Txn:UTR79485,,11435.23,388118.48
30-05-2025 03:21:13,CASH-DEP/BRANCH/UTR97756,,41495.97,429614.45
11-06-2025 20:34:46,IMPS/P2A/UTR35525/9946035151,,42504.94,472119.39
23-06-2025 10:02:43,BY CASH DEPOSIT - REF UTR43939,,36431.92,508551.31
02-07-2025 22:50:53,ATM/CASH-WITHDRAWAL/Txn:UTR86604,,14606.01,523157.32
09-08-2025 12:42:55,IMPS-FUNDS-TRF-RAJANI TIW-UTR79723,23875.57,,499281.75
10-08-2025 21:19:44,UPI/P2M/UTR35939//Payment,,17315.48,516597.23
28-08-2025 20:43:05,CASH-DEP/BRANCH/UTR54700,,46670.63,563267.86
29-08-2025 15:09:01,UPI-MERCHANT-hbhatt@axl-Myntra,13328.03,,549939.83
09-09-2025 11:30:53,ATM/CASH-WITHDRAWAL/Txn:UTR90829,684.46,,549255.37
22-09-2025 20:02:30,CASH-DEP/BRANCH/UTR25626,,38005.72,587261.09
09-10-2025 09:03:34,UPI/P2M/UTR32859/Myntra/Payment,14545.72,,572715.37
09-10-2025 18:22:19,BY CASH DEPOSIT - REF UTR27809,,35669.95,608385.32
26-10-2025 10:49:37,UPI-MERCHANT-arpitaghosh@paytm-Zomato,6811.45,,601573.87
26-10-2025 14:55:48,IMPS-FUNDS-TRF-PRERANA FE-UTR14620,,44050.14,645624.01
27-10-2025 20:14:33,BY CASH DEPOSIT - REF UTR77848,24729.69,,620894.32
09-11-2025 03:52:18,ATM/CASH-WITHDRAWAL/Txn:UTR78990,1096.74,,619797.58
09-11-2025 23:15:31,ATM/CASH-WITHDRAWAL/Txn:UTR68553,,1592.65,621390.23
18-11-2025 01:29:18,UPI/P2M/UTR39721//Payment,,3836.21,625226.44
23-11-2025 09:21:28,CASH-DEP/BRANCH/UTR50575,3724.87,,621501.57
