Account Statement for: Himesh Chatterjee
Account Number: 273693121049
Registered Phone: 6294342584
----------------------------------------
Date,Narration,Withdrawal,Deposit,Running_Balance
18-01-2025 18:40:59,UPI-MERCHANT-eeshwarwork@okaxis-,,16265.28,333628.28
24-01-2025 02:20:01,CASH-DEP/BRANCH/UTR14409,,37030.27,370658.55
01-02-2025 17:17:31,ATM/CASH-WITHDRAWAL/Txn:UTR42416,,1160.82,371819.37
04-02-2025 22:57:23,UPI-MERCHANT-7136919849@okhdfcbank-,,12640.12,384459.49
15-03-2025 11:13:20,UPI-MERCHANT-lalitwork@axl-,,1358.36,385817.85
24-03-2025 20:14:37,ATM/CASH-WITHDRAWAL/Txn:UTR35654,11083.84,,374734.01
16-04-2025 15:21:32,ATM/CASH-WITHDRAWAL/Txn:UTR19292,13991.17,,360742.84
27-04-2025 14:41:00,UPI/P2P/9101709809@okhdfcbank/SMRITI KAL,68117.00,,292625.84
01-05-2025 12:29:15,ATM-WDL/CASH/UTR41713,7251.24,,285374.60
22-05-2025 01:14:03,UPI/P2M/UTR77661//Payment,,7232.04,292606.64
06-07-2025 05:19:35,UPI/P2M/UTR23859//Payment,,31956.56,324563.20
07-07-2025 02:16:50,UPI-MERCHANT-kishore403@ibl-Zomato,23096.34,,301466.86
20-07-2025 21:03:43,BY CASH DEPOSIT - REF UTR23772,29814.60,,271652.26
11-08-2025 15:17:09,UPI-MERCHANT-6659342899@oksbi-,,4994.32,276646.58
30-09-2025 19:03:37,BY CASH DEPOSIT - REF UTR10281,,1713.01,278359.59
29-11-2025 07:15:24,UPI-MERCHANT-karanparmar@ibl-Indian Oil,18243.81,,260115.78
04-12-2025 02:15:27,ATM/CASH-WITHDRAWAL/Txn:UTR62995,8266.06,,251849.72
29-12-2025 05:18:58,ATM-WDL/CASH/UTR34347,,9572.24,261421.96
