Account Statement for: Hemalatha Verma
Account Number: 752868031617
Registered Phone: 6300063509
----------------------------------------
Date,Narration,Withdrawal,Deposit,Running_Balance
03-01-2025 15:36:35,IMPS/P2A/UTR32391/8424606485,12743.39,,332417.61
12-01-2025 13:08:16,ATM/CASH-WITHDRAWAL/Txn:UTR21915,,14410.48,346828.09
17-01-2025 22:31:21,ATM-WDL/CASH/UTR37939,1034.83,,345793.26
24-01-2025 04:05:01,UPI/P2M/UTR44276//Payment,,23835.58,369628.84
02-03-2025 10:31:09,ATM/CASH-WITHDRAWAL/Txn:UTR33567,,33139.22,402768.06
12-03-2025 04:35:14,BY CASH DEPOSIT - REF UTR11050,,15645.52,418413.58
20-03-2025 02:32:20,UPI-MERCHANT-6423682242@apl-BookMyShow,2761.86,,415651.72
10-04-2025 16:00:11,UPI-MERCHANT-9591553611@ibl-Blinkit,19629.37,,396022.35
20-05-2025 06:01:02,ATM/CASH-WITHDRAWAL/Txn:UTR28565,13443.95,,382578.40
05-06-2025 22:31:28,BY CASH DEPOSIT - REF UTR88392,114427.47,,268150.93
13-06-2025 16:20:00,UPI-MERCHANT-8424606485@apl-Amazon,5242.00,,262908.93
26-06-2025 10:45:21,UPI/P2M/UTR73208//Payment,,21136.49,284045.42
04-08-2025 16:13:47,BY CASH DEPOSIT - REF UTR35601,101532.71,,182512.71
23-08-2025 02:26:45,IMPS-FUNDS-TRF-KETAN FERN-UTR43810,38047.90,,144464.81
18-09-2025 06:51:05,UPI/P2M/UTR86288//Payment,,7437.08,151901.89
28-09-2025 09:51:31,ATM/CASH-WITHDRAWAL/Txn:UTR78392,34430.24,,117471.65
04-11-2025 14:49:45,ATM-WDL/CASH/UTR40735,,8254.64,125726.29
22-11-2025 05:23:26,CASH-DEP/BRANCH/UTR31772,72327.90,,53398.39
27-12-2025 23:49:34,CASH-DEP/BRANCH/UTR45780,,108040.30,161438.69
29-12-2025 11:37:48,ATM-WDL/CASH/UTR80795,4563.66,,156875.03
