Account Statement for: Neelam Syed
Account Number: 813135964713
Registered Phone: 6309299966
----------------------------------------
Date,Narration,Withdrawal,Deposit,Running_Balance
05-01-2025 03:57:03,CASH-DEP/BRANCH/UTR49116,,27812.26,170452.26
07-01-2025 18:22:23,UPI-MERCHANT-aashishwork@paytm-HP Petrol,14320.66,,156131.60
16-01-2025 18:41:42,CASH-DEP/BRANCH/UTR49326,,39998.47,196130.07
21-01-2025 02:49:39,UPI-MERCHANT-seemafernandes@apl-,,21706.22,217836.29
14-02-2025 13:16:55,ATM/CASH-WITHDRAWAL/Txn:UTR37618,17246.28,,200590.01
04-03-2025 14:36:01,CASH-DEP/BRANCH/UTR10443,22362.89,,178227.12
05-03-2025 17:09:05,UPI-MERCHANT-9626358063@ibl-,,15287.39,193514.51
18-03-2025 23:24:14,ATM/CASH-WITHDRAWAL/Txn:UTR81991,,17185.43,210699.94
22-03-2025 09:52:59,BY CASH DEPOSIT - REF UTR15130,52121.85,,158578.09
28-03-2025 09:31:04,IMPS/P2A/UTR61612/9159734633,,42338.87,200916.96
15-04-2025 18:27:24,CASH-DEP/BRANCH/UTR10069,36546.48,,164370.48
20-04-2025 21:55:32,ATM/CASH-WITHDRAWAL/Txn:UTR48409,33202.69,,131167.79
21-04-2025 15:39:46,ATM-WDL/CASH/UTR94333,,19184.35,150352.14
28-04-2025 15:13:19,CASH-DEP/BRANCH/UTR92940,40364.87,,109987.27
24-05-2025 15:59:50,UPI-MERCHANT-kshaikh@apl-,,5337.49,115324.76
27-05-2025 01:16:29,ATM-WDL/CASH/UTR74577,3672.14,,111652.62
08-06-2025 15:16:53,ATM-WDL/CASH/UTR56889,18734.28,,92918.34
20-06-2025 08:35:48,ATM/CASH-WITHDRAWAL/Txn:UTR63130,5615.20,,87303.14
27-06-2025 01:57:54,UPI-MERCHANT-7842739552@axl-,,20011.51,107314.65
02-07-2025 16:10:09,UPI-MERCHANT-roshni561@ybl-,,23619.09,130933.74
10-07-2025 23:45:52,ATM/CASH-WITHDRAWAL/Txn:UTR73064,,2128.02,133061.76
21-07-2025 20:29:26,UPI/P2M/UTR96287//Payment,,11457.93,144519.69
13-08-2025 18:31:01,UPI-MERCHANT-8081389432@okhdfcbank-Flipkart,23400.03,,121119.66
21-08-2025 23:22:39,BY CASH DEPOSIT - REF UTR22939,114591.79,,6527.87
23-08-2025 03:08:06,ATM-WDL/CASH/UTR15246,,13468.29,19996.16
25-08-2025 11:10:50,UPI/P2M/UTR50552/Uber/Payment,2306.61,,17689.55
28-08-2025 21:00:58,ATM-WDL/CASH/UTR61984,7854.71,,9834.84
16-09-2025 22:42:39,IMPS/P2A/UTR97997/9497486531,,11504.21,21339.05
23-09-2025 17:18:44,ATM/CASH-WITHDRAWAL/Txn:UTR56902,,14934.74,36273.79
28-09-2025 12:59:15,ATM-WDL/CASH/UTR12624,,6583.80,42857.59
14-10-2025 07:14:32,BY CASH DEPOSIT - REF UTR60300,29267.66,,13589.93
16-10-2025 18:37:16,UPI-MERCHANT-9055562073@paytm-,,2603.16,16193.09
28-10-2025 21:00:00,ATM/CASH-WITHDRAWAL/Txn:UTR18557,10120.80,,6072.29
15-11-2025 19:12:25,BY CASH DEPOSIT - REF UTR91754,1021.48,,5050.81
18-11-2025 08:52:30,UPI-MERCHANT-nileshghosh@apl-Municipal Corporation,23564.49,,-18513.68
19-11-2025 18:38:41,BY CASH DEPOSIT - REF UTR44344,,50971.14,32457.46
03-12-2025 18:32:59,UPI/P2M/UTR59580//Payment,,556.42,33013.88
04-12-2025 16:48:00,NEFT/TXN/UTR27599/TO-7938295768,7408.00,,25605.88
08-12-2025 07:32:21,UPI-MERCHANT-6101094421@ybl-MedPlus,14425.53,,11180.35
10-12-2025 16:25:11,ATM/CASH-WITHDRAWAL/Txn:UTR59415,5234.08,,5946.27
14-12-2025 14:32:46,ATM/CASH-WITHDRAWAL/Txn:UTR40495,9924.47,,-3978.20
23-12-2025 19:46:18,CASH-DEP/BRANCH/UTR23837,2170.89,,-6149.09
