Account Statement for: Pari Behera
Account Number: 255574453423
Registered Phone: 6419503238
----------------------------------------
Date,Narration,Withdrawal,Deposit,Running_Balance
02-01-2025 20:53:32,ATM-WDL/CASH/UTR10438,,1353.84,138702.84
04-01-2025 09:46:24,CASH-DEP/BRANCH/UTR52196,6856.04,,131846.80
16-01-2025 20:31:35,UPI-MERCHANT-8720590021@axl-Blinkit,20500.72,,111346.08
19-01-2025 21:00:16,ATM/CASH-WITHDRAWAL/Txn:UTR54309,16756.08,,94590.00
31-03-2025 08:34:46,TXN-POS-UTR23894-8011330675,,18194.41,112784.41
08-04-2025 18:58:14,ATM-WDL/CASH/UTR96730,,9244.31,122028.72
12-04-2025 13:09:58,ATM/CASH-WITHDRAWAL/Txn:UTR12183,,12903.61,134932.33
13-05-2025 04:00:59,UPI-MERCHANT-omkar640@okaxis-,,9867.76,144800.09
14-05-2025 10:30:18,ATM/CASH-WITHDRAWAL/Txn:UTR59550,16519.96,,128280.13
21-05-2025 00:09:38,UPI-MERCHANT-jayaverma@okaxis-Municipal Corporation,2007.39,,126272.74
20-06-2025 03:26:08,UPI/P2M/UTR15908//Payment,,23726.08,149998.82
25-06-2025 02:56:34,UPI/P2M/UTR39252/Uber/Payment,5329.65,,144669.17
05-07-2025 03:25:59,ATM-WDL/CASH/UTR35478,18218.56,,126450.61
07-07-2025 01:00:54,ATM/CASH-WITHDRAWAL/Txn:UTR30284,,9872.73,136323.34
21-07-2025 19:01:14,UPI/P2M/UTR76476//Payment,,842.06,137165.40
08-08-2025 19:37:40,ATM/CASH-WITHDRAWAL/Txn:UTR50496,,10843.79,148009.19
12-08-2025 11:32:01,BY CASH DEPOSIT - REF UTR68645,,39662.42,187671.61
03-09-2025 00:55:42,UPI-MERCHANT-7540718691@ibl-Airtel Recharge,5588.36,,182083.25
23-09-2025 20:00:00,NEFT-OUTWARD-ANUSHKA MISHRA,22617.00,,159466.25
12-10-2025 02:12:29,BY CASH DEPOSIT - REF UTR17766,,180161.91,339628.16
26-10-2025 18:04:14,UPI/P2M/UTR28812/Electricit/Payment,19394.20,,320233.96
30-10-2025 11:40:25,UPI/P2M/UTR14409//Payment,,16131.91,336365.87
22-11-2025 12:08:27,CASH-DEP/BRANCH/UTR83425,31571.13,,304794.74
02-12-2025 15:19:08,UPI-MERCHANT-ashwin609@paytm-Indian Oil,10733.43,,294061.31
06-12-2025 15:42:01,UPI-MERCHANT-6458660215@ibl-,,10287.85,304349.16
21-12-2025 02:54:10,ATM-WDL/CASH/UTR10496,8005.77,,296343.39
