Account Statement for: Sarthak Rawat
Account Number: 264466997742
Registered Phone: 6425264630
----------------------------------------
Date,Narration,Withdrawal,Deposit,Running_Balance
15-01-2025 03:59:02,UPI/P2M/UTR29894//Payment,,23064.01,273274.01
17-02-2025 22:50:31,CASH-DEP/BRANCH/UTR90446,,24845.10,298119.11
17-03-2025 13:05:12,BY CASH DEPOSIT - REF UTR55612,,43831.34,341950.45
04-06-2025 07:07:33,UPI-MERCHANT-richaagarwal@ybl-,,10947.17,352897.62
09-06-2025 04:42:59,ATM/CASH-WITHDRAWAL/Txn:UTR90957,,2843.95,355741.57
28-06-2025 23:30:20,ATM/CASH-WITHDRAWAL/Txn:UTR77651,,13799.08,369540.65
02-07-2025 17:27:16,BY CASH DEPOSIT - REF UTR33223,,43132.07,412672.72
05-07-2025 04:13:27,ATM/CASH-WITHDRAWAL/Txn:UTR14709,,37605.93,450278.65
13-08-2025 17:02:48,UPI-MERCHANT-9297898204@paytm-,,9778.53,460057.18
19-08-2025 21:46:00,UPI-MERCHANT-garima631@axl-Income Tax,14129.54,,445927.64
28-08-2025 11:15:41,IMPS-FUNDS-TRF-SAHIL BHAT-UTR88920,,2419.09,448346.73
07-09-2025 12:44:00,NEFT/TXN/UTR10640/TO-7304074911,75610.00,,372736.73
12-09-2025 21:39:33,UPI/P2M/UTR36043/Reliance F/Payment,6344.92,,366391.81
10-10-2025 07:55:01,ATM-WDL/CASH/UTR10987,6839.75,,359552.06
16-10-2025 15:28:04,UPI-MERCHANT-6277018985@okhdfcbank-,,2010.48,361562.54
23-10-2025 02:26:49,UPI-MERCHANT-9765700934@okhdfcbank-,,22070.22,383632.76
11-11-2025 14:22:13,ATM/CASH-WITHDRAWAL/Txn:UTR54959,,16585.29,400218.05
