Account Statement for: Ashok Pandey
Account Number: 600245001424
Registered Phone: 6540053693
----------------------------------------
Date,Narration,Withdrawal,Deposit,Running_Balance
15-01-2025 16:38:50,ATM/CASH-WITHDRAWAL/Txn:UTR72595,,1518.56,361865.56
01-02-2025 18:53:49,ATM/CASH-WITHDRAWAL/Txn:UTR40264,18601.69,,343263.87
13-02-2025 13:15:31,ATM-WDL/CASH/UTR14785,,13769.81,357033.68
17-03-2025 09:02:30,CASH-DEP/BRANCH/UTR96082,18082.17,,338951.51
06-04-2025 17:29:26,UPI/P2M/UTR57024//Payment,,24791.28,363742.79
27-06-2025 13:39:00,UPI-REV/6048585340/RADHIKA /UTR40264,91819.00,,271923.79
28-06-2025 08:58:31,ATM-WDL/CASH/UTR80767,,8821.14,280744.93
14-07-2025 04:29:19,ATM-WDL/CASH/UTR54659,,31046.23,311791.16
05-08-2025 17:40:13,ATM-WDL/CASH/UTR89854,,9363.71,321154.87
13-08-2025 20:23:44,CASH-DEP/BRANCH/UTR49242,,23183.39,344338.26
13-08-2025 20:57:27,ATM-WDL/CASH/UTR19565,,1253.48,345591.74
24-08-2025 04:26:53,BY CASH DEPOSIT - REF UTR65194,34449.04,,311142.70
08-09-2025 08:48:28,ATM-WDL/CASH/UTR77687,,18609.82,329752.52
23-09-2025 09:40:52,BY CASH DEPOSIT - REF UTR62039,55637.63,,274114.89
23-09-2025 19:05:25,CASH-DEP/BRANCH/UTR94695,21022.50,,253092.39
26-09-2025 06:28:58,UPI-MERCHANT-madhav673@axl-,,15765.25,268857.64
22-10-2025 21:05:38,ATM/CASH-WITHDRAWAL/Txn:UTR46305,,6312.97,275170.61
31-10-2025 03:17:28,ATM/CASH-WITHDRAWAL/Txn:UTR90730,,18941.98,294112.59
11-11-2025 17:10:22,UPI/P2M/UTR74367/Amazon/Payment,832.23,,293280.36
15-12-2025 03:38:00,UPI-MERCHANT-mitali980@okaxis-Amazon,8598.61,,284681.75
16-12-2025 05:35:02,UPI-MERCHANT-karishma898@apl-,,16794.69,301476.44
16-12-2025 16:14:23,ATM/CASH-WITHDRAWAL/Txn:UTR45078,15609.92,,285866.52
18-12-2025 19:17:57,BY CASH DEPOSIT - REF UTR48553,,33011.88,318878.40
