Account Statement for: Kartik Ghosh
Account Number: 352285138852
Registered Phone: 6554092657
----------------------------------------
Date,Narration,Withdrawal,Deposit,Running_Balance
01-01-2025 03:09:45,ATM/CASH-WITHDRAWAL/Txn:UTR15170,,7745.36,350661.36
31-01-2025 11:41:01,ATM/CASH-WITHDRAWAL/Txn:UTR64247,3904.38,,346756.98
18-02-2025 19:04:08,ATM/CASH-WITHDRAWAL/Txn:UTR77030,,5858.02,352615.00
08-03-2025 17:29:36,IMPS/P2A/UTR37646/6201084034,38317.37,,314297.63
17-04-2025 06:12:48,UPI-MERCHANT-mukesh@paytm-,,11971.01,326268.64
27-04-2025 10:13:28,BY CASH DEPOSIT - REF UTR86488,,22154.34,348422.98
04-06-2025 06:58:31,ATM/CASH-WITHDRAWAL/Txn:UTR54754,10375.95,,338047.03
16-06-2025 03:45:43,UPI/P2M/UTR71045/IRCTC/Payment,10171.29,,327875.74
11-07-2025 08:39:50,UPI-MERCHANT-rajaniwork@okaxis-BookMyShow,16493.52,,311382.22
14-07-2025 18:16:49,ATM/CASH-WITHDRAWAL/Txn:UTR38204,10133.24,,301248.98
03-08-2025 03:59:27,ATM/CASH-WITHDRAWAL/Txn:UTR10595,2520.67,,298728.31
08-08-2025 17:40:11,CASH-DEP/BRANCH/UTR42328,40124.07,,258604.24
09-08-2025 07:58:54,ATM/CASH-WITHDRAWAL/Txn:UTR83778,,8437.68,267041.92
16-08-2025 06:44:21,UPI-MERCHANT-bhavaniwork@ybl-Apollo Pharmacy,6638.19,,260403.73
16-08-2025 10:14:32,ATM-WDL/CASH/UTR37584,2690.85,,257712.88
17-08-2025 18:04:15,IMPS-FUNDS-TRF-DAKSH MORE-UTR71231,,17815.74,275528.62
25-08-2025 11:10:50,UPI-MERCHANT-6309299966@apl-,,2306.61,277835.23
05-09-2025 11:44:47,UPI-MERCHANT-nakuld77@ibl-,,15416.70,293251.93
08-09-2025 15:46:45,UPI/P2M/UTR90336/Bharat Pet/Payment,8487.65,,284764.28
29-09-2025 05:41:42,UPI-MERCHANT-ankit723@okhdfcbank-,,21696.23,306460.51
07-11-2025 02:54:53,ATM/CASH-WITHDRAWAL/Txn:UTR10115,,11029.22,317489.73
07-11-2025 13:14:00,NEFT-OUTWARD-RENU SAXENA,10539.00,,306950.73
12-12-2025 10:52:02,BY CASH DEPOSIT - REF UTR89056,13885.31,,293065.42
14-12-2025 12:35:44,CASH-DEP/BRANCH/UTR45148,,44540.10,337605.52
