Account Statement for: Anika Shaikh
Account Number: 726798900779
Registered Phone: 6560975165
----------------------------------------
Date,Narration,Withdrawal,Deposit,Running_Balance
05-01-2025 06:47:49,UPI-MERCHANT-8639338747@ibl-,,20763.69,56723.69
10-01-2025 13:47:25,ATM-WDL/CASH/UTR59594,,9993.43,66717.12
12-01-2025 13:54:19,UPI-MERCHANT-6896279431@paytm-,,7980.51,74697.63
24-01-2025 02:17:16,CASH-DEP/BRANCH/UTR37791,47134.13,,27563.50
05-02-2025 11:57:00,UPI/P2P/ganesh181@oksbi/GANESH PER,46904.00,,-19340.50
17-03-2025 07:12:23,ATM-WDL/CASH/UTR99815,10442.79,,-29783.29
18-03-2025 11:56:53,UPI/P2M/UTR77172/DMart/Payment,2404.11,,-32187.40
24-03-2025 20:39:50,UPI-MERCHANT-8158388378@ybl-BookMyShow,1988.76,,-34176.16
10-04-2025 13:51:02,UPI-MERCHANT-9168756219@oksbi-Uber,14212.04,,-48388.20
23-05-2025 23:05:29,ATM/CASH-WITHDRAWAL/Txn:UTR51141,19578.72,,-67966.92
23-08-2025 17:10:58,UPI-MERCHANT-dev@paytm-Ola,24279.63,,-92246.55
04-09-2025 10:44:48,UPI/P2M/UTR96298//Payment,,20617.47,-71629.08
06-09-2025 20:22:33,UPI-MERCHANT-akash733@ybl-Amazon,5641.79,,-77270.87
26-09-2025 20:28:40,CASH-DEP/BRANCH/UTR35792,6227.58,,-83498.45
23-10-2025 10:32:50,ATM-WDL/CASH/UTR81246,,11271.74,-72226.71
11-11-2025 00:19:45,UPI-MERCHANT-kiranwork@apl-Ola,15672.55,,-87899.26
11-11-2025 09:32:14,BY CASH DEPOSIT - REF UTR83690,8967.63,,-96866.89
01-12-2025 22:35:47,UPI/P2M/UTR62539//Payment,,10448.79,-86418.10
26-12-2025 22:06:59,UPI/P2M/UTR86083//Payment,,19380.39,-67037.71
