Account Statement for: Payal Shinde
Account Number: 435338580860
Registered Phone: 6581366088
----------------------------------------
Date,Narration,Withdrawal,Deposit,Running_Balance
01-01-2025 11:15:00,NEFT-OUTWARD-HARDIK SINGH,63621.00,,39476.00
09-01-2025 16:13:35,UPI/P2M/UTR12012/DMart/Payment,19709.00,,19767.00
12-01-2025 07:53:53,ATM-WDL/CASH/UTR85554,8053.26,,11713.74
17-01-2025 11:46:42,CASH-DEP/BRANCH/UTR43775,,39269.96,50983.70
06-02-2025 10:40:07,ATM-WDL/CASH/UTR14730,19338.83,,31644.87
10-02-2025 09:31:48,BY CASH DEPOSIT - REF UTR74839,17434.01,,14210.86
06-03-2025 16:03:37,CASH-DEP/BRANCH/UTR92806,2651.08,,11559.78
30-03-2025 19:59:00,CASH-DEP/BRANCH/UTR60068,,181788.94,193348.72
10-05-2025 02:13:59,BY CASH DEPOSIT - REF UTR91423,,28782.79,222131.51
12-05-2025 13:25:08,CASH-DEP/BRANCH/UTR13132,,10505.75,232637.26
20-06-2025 04:02:06,UPI-MERCHANT-jiteshh@apl-,,19557.73,252194.99
27-06-2025 23:18:20,UPI-MERCHANT-bhaskar121@okhdfcbank-,,13559.24,265754.23
29-06-2025 21:25:51,ATM/CASH-WITHDRAWAL/Txn:UTR73379,12356.63,,253397.60
14-07-2025 23:23:08,CASH-DEP/BRANCH/UTR29671,41563.33,,211834.27
20-07-2025 23:23:59,IMPS/P2A/UTR10762/6431310392,,50394.21,262228.48
31-07-2025 12:11:47,UPI/P2M/UTR24903//Payment,,3376.21,265604.69
15-08-2025 17:38:15,UPI-MERCHANT-amit127@apl-,,15952.69,281557.38
25-08-2025 10:16:34,ATM/CASH-WITHDRAWAL/Txn:UTR44389,10883.58,,270673.80
25-08-2025 15:45:40,UPI-MERCHANT-6725055934@paytm-Uber,19022.68,,251651.12
14-09-2025 00:27:40,UPI-MERCHANT-swati@axl-,,11665.27,263316.39
22-09-2025 01:43:38,ATM/CASH-WITHDRAWAL/Txn:UTR56764,17651.25,,245665.14
27-09-2025 12:53:09,ATM/CASH-WITHDRAWAL/Txn:UTR50564,4996.28,,240668.86
08-10-2025 23:38:47,CASH-DEP/BRANCH/UTR78814,,761.47,241430.33
18-10-2025 22:06:49,IMPS-FUNDS-TRF-KARAN BISH-UTR82642,31450.54,,209979.79
05-11-2025 07:57:42,CASH-DEP/BRANCH/UTR72246,,24435.23,234415.02
19-11-2025 11:23:23,UPI-MERCHANT-balaji634@apl-Myntra,1397.03,,233017.99
15-12-2025 11:56:56,BY CASH DEPOSIT - REF UTR48732,,4353.70,237371.69
16-12-2025 03:13:52,CASH-DEP/BRANCH/UTR64374,,33262.92,270634.61
