Account Statement for: Lata Goel
Account Number: 245676663554
Registered Phone: 6584243753
----------------------------------------
Date,Narration,Withdrawal,Deposit,Running_Balance
04-01-2025 15:36:29,UPI/P2M/UTR13895/Swiggy/Payment,7480.17,,438741.83
24-01-2025 17:39:37,CASH-DEP/BRANCH/UTR90391,26925.83,,411816.00
13-02-2025 09:01:15,UPI/P2M/UTR37552//Payment,,6016.95,417832.95
15-04-2025 22:41:56,UPI-MERCHANT-priyanka375@paytm-Myntra,5822.51,,412010.44
21-04-2025 05:41:50,CASH-DEP/BRANCH/UTR63679,,22512.19,434522.63
30-04-2025 13:22:15,ATM-WDL/CASH/UTR89470,,2687.57,437210.20
14-05-2025 01:37:08,IMPS/P2A/UTR73267/9892401423,,5964.15,443174.35
30-05-2025 19:57:16,ATM-WDL/CASH/UTR16615,3783.09,,439391.26
09-06-2025 08:42:29,ATM-WDL/CASH/UTR73658,122.10,,439269.16
24-06-2025 14:46:00,UPI-MERCHANT-renu685@apl-Swiggy,17866.00,,421403.16
04-07-2025 12:24:39,UPI/P2M/UTR72642//Payment,,15349.71,436752.87
05-07-2025 17:59:00,BY CASH DEPOSIT - REF UTR30343,27321.71,,409431.16
28-07-2025 12:29:58,ATM/CASH-WITHDRAWAL/Txn:UTR33974,,18192.28,427623.44
28-07-2025 22:22:54,BY CASH DEPOSIT - REF UTR57886,24784.62,,402838.82
22-08-2025 11:21:08,BY CASH DEPOSIT - REF UTR11689,39485.79,,363353.03
26-08-2025 16:23:10,ATM-WDL/CASH/UTR87703,1910.59,,361442.44
04-09-2025 06:45:11,CASH-DEP/BRANCH/UTR14008,2939.17,,358503.27
05-09-2025 11:11:29,ATM/CASH-WITHDRAWAL/Txn:UTR65112,,15784.78,374288.05
18-09-2025 08:30:35,BY CASH DEPOSIT - REF UTR30130,,43905.01,418193.06
19-09-2025 03:47:46,UPI-MERCHANT-7088277832@paytm-,,9226.09,427419.15
24-09-2025 07:16:14,ATM/CASH-WITHDRAWAL/Txn:UTR33921,,13244.76,440663.91
28-09-2025 23:39:33,UPI/P2M/UTR71916/Bharat Pet/Payment,3902.51,,436761.40
11-10-2025 08:31:53,UPI/P2M/UTR34480/DMart/Payment,22171.44,,414589.96
29-10-2025 01:57:55,IMPS/P2A/UTR99682/6084983706,36397.89,,378192.07
02-12-2025 07:44:44,ATM-WDL/CASH/UTR45712,2723.44,,375468.63
08-12-2025 17:57:13,ATM-WDL/CASH/UTR82174,,29997.55,405466.18
16-12-2025 10:53:40,UPI-MERCHANT-sadhana528@paytm-,,15021.05,420487.23
