Account Statement for: Shikha Kalita
Account Number: 325351667073
Registered Phone: 6638641180
----------------------------------------
Date,Narration,Withdrawal,Deposit,Running_Balance
09-01-2025 13:17:17,TXN-POS-UTR72296-8783824058,,9481.26,76984.26
22-01-2025 16:24:49,BY CASH DEPOSIT - REF UTR87323,,46358.99,123343.25
28-01-2025 08:36:30,UPI/P2M/UTR53078/Reliance F/Payment,22067.13,,101276.12
28-01-2025 10:08:16,ATM/CASH-WITHDRAWAL/Txn:UTR80043,,10516.70,111792.82
06-02-2025 05:26:47,UPI-MERCHANT-ayushwork@ybl-,,12756.97,124549.79
12-02-2025 17:08:39,BY CASH DEPOSIT - REF UTR29241,,26079.49,150629.28
15-02-2025 03:41:45,UPI-MERCHANT-laxmi@okaxis-Bharat Petroleum,9434.58,,141194.70
25-02-2025 18:15:16,BY CASH DEPOSIT - REF UTR12597,,14661.44,155856.14
07-03-2025 10:45:22,ATM/CASH-WITHDRAWAL/Txn:UTR52029,12956.51,,142899.63
07-03-2025 16:38:29,IMPS-FUNDS-TRF-ANKITA CHA-UTR23463,41108.65,,101790.98
08-03-2025 10:06:14,UPI-MERCHANT-jaideepc25@axl-,,19904.93,121695.91
18-03-2025 06:36:27,ATM-WDL/CASH/UTR33098,6339.15,,115356.76
18-03-2025 23:46:28,ATM-WDL/CASH/UTR24178,,3124.97,118481.73
19-03-2025 16:04:52,ATM/CASH-WITHDRAWAL/Txn:UTR94184,13367.31,,105114.42
21-03-2025 17:12:15,IMPS/P2A/UTR34685/8184858277,35076.29,,70038.13
31-03-2025 22:54:46,UPI/P2M/UTR84047/Amazon/Payment,8728.18,,61309.95
03-04-2025 06:38:27,CASH-DEP/BRANCH/UTR91545,31487.80,,29822.15
04-04-2025 05:24:02,UPI-MERCHANT-saloni994@ybl-Zomato,51.95,,29770.20
06-04-2025 07:35:21,ATM-WDL/CASH/UTR23264,,14019.10,43789.30
02-05-2025 01:52:50,ATM-WDL/CASH/UTR65905,18734.30,,25055.00
02-05-2025 03:46:23,IMPS/P2A/UTR78048/6305675757,41387.03,,-16332.03
03-05-2025 20:42:07,CASH-DEP/BRANCH/UTR86076,,32697.82,16365.79
07-05-2025 07:00:06,BY CASH DEPOSIT - REF UTR99684,,10154.68,26520.47
13-05-2025 13:06:54,CASH-DEP/BRANCH/UTR44093,2270.17,,24250.30
03-06-2025 15:53:15,ATM-WDL/CASH/UTR82095,4828.57,,19421.73
05-06-2025 16:23:21,UPI/P2M/UTR17927//Payment,,22053.32,41475.05
12-06-2025 14:30:37,ATM-WDL/CASH/UTR96029,13579.90,,27895.15
13-06-2025 10:33:02,ATM-WDL/CASH/UTR53219,8347.92,,19547.23
17-06-2025 19:26:49,ATM/CASH-WITHDRAWAL/Txn:UTR39786,15693.62,,3853.61
29-06-2025 16:45:54,UPI-MERCHANT-hrithik759@okhdfcbank-Blinkit,22159.99,,-18306.38
08-07-2025 16:59:02,CASH-DEP/BRANCH/UTR95865,18071.50,,-36377.88
06-08-2025 20:51:28,CASH-DEP/BRANCH/UTR45467,37950.59,,-74328.47
09-08-2025 02:13:23,ATM/CASH-WITHDRAWAL/Txn:UTR55553,1179.91,,-75508.38
18-08-2025 03:41:38,ATM-WDL/CASH/UTR78998,9350.71,,-84859.09
27-08-2025 17:22:11,UPI/P2M/UTR62039//Payment,,5659.18,-79199.91
11-09-2025 19:27:15,ATM/CASH-WITHDRAWAL/Txn:UTR37057,15531.13,,-94731.04
12-09-2025 05:12:04,BY CASH DEPOSIT - REF UTR56833,689.79,,-95420.83
18-09-2025 07:35:07,ATM-WDL/CASH/UTR69394,14184.04,,-109604.87
28-09-2025 00:29:23,UPI-MERCHANT-bbarik@okhdfcbank-Ola,20477.13,,-130082.00
05-10-2025 07:47:38,CASH-DEP/BRANCH/UTR81261,,3641.12,-126440.88
05-10-2025 11:53:29,ATM-WDL/CASH/UTR35210,2550.97,,-128991.85
07-10-2025 13:49:41,IMPS-FUNDS-TRF-PRANAY BAR-UTR96824,39186.58,,-168178.43
08-10-2025 23:41:47,CASH-DEP/BRANCH/UTR13660,30384.96,,-198563.39
27-10-2025 17:34:13,ATM-WDL/CASH/UTR96978,18882.81,,-217446.20
08-11-2025 13:18:12,ATM-WDL/CASH/UTR26601,15601.62,,-233047.82
12-11-2025 00:30:39,ATM-WDL/CASH/UTR52496,16793.58,,-249841.40
19-11-2025 09:48:53,UPI-MERCHANT-8878165080@okaxis-BigBasket,20131.33,,-269972.73
21-11-2025 06:44:11,UPI/P2M/UTR90276//Payment,,24374.03,-245598.70
26-11-2025 08:05:49,BY CASH DEPOSIT - REF UTR16808,20162.18,,-265760.88
03-12-2025 14:29:35,BY CASH DEPOSIT - REF UTR69702,,30619.33,-235141.55
07-12-2025 22:59:11,ATM/CASH-WITHDRAWAL/Txn:UTR19879,13688.57,,-248830.12
11-12-2025 19:42:41,CASH-DEP/BRANCH/UTR24427,,3954.34,-244875.78
16-12-2025 11:50:44,UPI-MERCHANT-swati324@ibl-Reliance Fresh,3822.68,,-248698.46
19-12-2025 00:33:07,UPI-MERCHANT-8024648441@okhdfcbank-,,20973.27,-227725.19
19-12-2025 15:39:21,UPI/P2M/UTR84610//Payment,,22617.94,-205107.25
22-12-2025 17:15:02,IMPS-FUNDS-TRF-NITA RAO-UTR57488,,37018.61,-168088.64
27-12-2025 22:09:33,ATM-WDL/CASH/UTR63291,,16409.97,-151678.67
