Account Statement for: Jagadish Chawla
Account Number: 632425668582
Registered Phone: 6643359311
----------------------------------------
Date,Narration,Withdrawal,Deposit,Running_Balance
03-01-2025 07:07:03,CASH-DEP/BRANCH/UTR30440,174465.42,,-150394.42
06-01-2025 05:28:27,BY CASH DEPOSIT - REF UTR33245,30594.04,,-180988.46
31-01-2025 03:49:39,UPI/P2M/UTR61804/Electricit/Payment,1900.57,,-182889.03
18-02-2025 01:53:53,CASH-DEP/BRANCH/UTR28455,32445.39,,-215334.42
21-02-2025 06:54:20,BY CASH DEPOSIT - REF UTR75347,20405.99,,-235740.41
21-02-2025 22:02:23,CASH-DEP/BRANCH/UTR50431,3249.92,,-238990.33
28-03-2025 21:39:52,UPI-MERCHANT-6150642300@okhdfcbank-,,1753.69,-237236.64
02-04-2025 21:52:58,UPI/P2M/UTR50434/Amazon/Payment,2312.26,,-239548.90
23-05-2025 22:59:49,CASH-DEP/BRANCH/UTR18079,45844.27,,-285393.17
14-06-2025 21:47:16,IMPS/P2A/UTR98684/9931643401,22093.94,,-307487.11
09-07-2025 21:06:32,UPI-MERCHANT-6890997421@apl-Blinkit,22396.00,,-329883.11
25-07-2025 01:50:46,BY CASH DEPOSIT - REF UTR70564,21608.17,,-351491.28
21-08-2025 13:15:38,ATM/CASH-WITHDRAWAL/Txn:UTR26086,13600.94,,-365092.22
03-10-2025 11:06:47,IMPS/P2A/UTR47727/6177615953,,23632.50,-341459.72
10-10-2025 14:13:00,NEFT-OUTWARD-NIYATI BISHT,66179.00,,-407638.72
17-10-2025 10:14:36,BY CASH DEPOSIT - REF UTR70028,,22927.21,-384711.51
22-10-2025 04:53:10,UPI/TRANSFER/TO 8810305517/REFUTR31091,4433.45,,-389144.96
25-10-2025 09:14:05,ATM/CASH-WITHDRAWAL/Txn:UTR37526,18219.49,,-407364.45
16-11-2025 11:52:44,IMPS-FUNDS-TRF-ANANYA VAR-UTR47139,7585.68,,-414950.13
29-11-2025 16:12:28,ATM-WDL/CASH/UTR53847,,11196.36,-403753.77
01-12-2025 09:21:57,ATM-WDL/CASH/UTR64330,7582.32,,-411336.09
08-12-2025 04:19:55,IMPS-FUNDS-TRF-KAMALA YAD-UTR57186,11385.05,,-422721.14
14-12-2025 17:40:04,UPI/P2M/UTR22852/Water Boar/Payment,20256.14,,-442977.28
25-12-2025 22:39:08,UPI/P2M/UTR93968/Flipkart/Payment,5411.33,,-448388.61
