Account Statement for: Jyoti Fernandes
Account Number: 687012525449
Registered Phone: 6706456953
----------------------------------------
Date,Narration,Withdrawal,Deposit,Running_Balance
21-01-2025 06:26:48,UPI-MERCHANT-akanksharathod@axl-,,23373.02,265983.02
08-02-2025 15:13:00,IMPS-FUNDS-TRF-PRIYANKA J-UTR50594,10133.00,,255850.02
01-03-2025 21:20:38,IMPS/P2A/UTR51871/8941365706,,22134.46,277984.48
12-03-2025 15:43:09,ATM-WDL/CASH/UTR90339,,15467.89,293452.37
13-04-2025 17:26:25,IMPS-FUNDS-TRF-MILAN TRIP-UTR39483,,34230.36,327682.73
05-05-2025 23:17:18,BY CASH DEPOSIT - REF UTR50594,40856.35,,286826.38
09-05-2025 04:58:26,UPI/P2M/UTR95327/Jio Rechar/Payment,20542.67,,266283.71
01-06-2025 06:54:04,BY CASH DEPOSIT - REF UTR17454,,39240.02,305523.73
11-06-2025 10:46:28,ATM-WDL/CASH/UTR78912,15537.36,,289986.37
20-07-2025 14:12:19,ATM-WDL/CASH/UTR15889,,6498.36,296484.73
23-07-2025 16:25:48,BY CASH DEPOSIT - REF UTR10730,,58615.90,355100.63
28-07-2025 22:46:52,CASH-DEP/BRANCH/UTR14411,9389.05,,345711.58
18-08-2025 10:20:42,BY CASH DEPOSIT - REF UTR66325,45686.12,,300025.46
19-09-2025 02:22:53,ATM-WDL/CASH/UTR94597,,19728.03,319753.49
21-09-2025 17:06:24,UPI-MERCHANT-sarika202@apl-,,17942.74,337696.23
23-09-2025 17:36:47,CASH-DEP/BRANCH/UTR33016,,30766.94,368463.17
05-10-2025 03:04:15,UPI-MERCHANT-9648858310@oksbi-Uber,7089.91,,361373.26
16-10-2025 09:02:09,CASH-DEP/BRANCH/UTR27931,28368.28,,333004.98
08-11-2025 22:09:19,ATM/CASH-WITHDRAWAL/Txn:UTR68075,17740.23,,315264.75
29-11-2025 06:45:10,UPI/P2M/UTR24707/Reliance F/Payment,20762.44,,294502.31
03-12-2025 00:47:13,UPI/P2M/UTR24560/Uber/Payment,6077.92,,288424.39
