Account Statement for: Jitesh Reddy
Account Number: 202431021985
Registered Phone: 6716145567
----------------------------------------
Date,Narration,Withdrawal,Deposit,Running_Balance
12-01-2025 02:59:39,BY CASH DEPOSIT - REF UTR23725,80561.38,,-3564.38
16-01-2025 11:08:22,UPI-MERCHANT-nikitasaxena@oksbi-IRCTC,5970.00,,-9534.38
03-02-2025 23:03:40,ATM-WDL/CASH/UTR58228,19421.44,,-28955.82
09-02-2025 09:47:04,CASH-DEP/BRANCH/UTR64813,,36403.42,7447.60
22-02-2025 05:27:08,UPI-MERCHANT-9668550767@ibl-Uber,20845.11,,-13397.51
04-03-2025 06:59:41,UPI/P2M/UTR46685//Payment,,9528.59,-3868.92
17-04-2025 22:20:27,IMPS-FUNDS-TRF-GARIMA PAN-UTR65804,,35492.15,31623.23
01-05-2025 17:57:29,UPI-MERCHANT-kalpana437@apl-,,7575.64,39198.87
30-05-2025 05:19:06,CASH-DEP/BRANCH/UTR79793,,34466.58,73665.45
03-06-2025 06:06:25,ATM-WDL/CASH/UTR28797,,2904.95,76570.40
07-06-2025 07:30:15,IMPS/P2A/UTR39534/6564902284,,31517.89,108088.29
14-07-2025 20:27:24,UPI-MERCHANT-mukeshm@ybl-Bharat Petroleum,4332.31,,103755.98
26-07-2025 18:51:27,ATM-WDL/CASH/UTR35828,5886.75,,97869.23
04-09-2025 11:31:32,UPI/P2M/UTR50833//Payment,,23490.89,121360.12
12-09-2025 06:54:15,IMPS-FUNDS-TRF-OJASWINI V-UTR11798,,36551.74,157911.86
04-10-2025 14:07:46,UPI/P2M/UTR49789//Payment,,14068.84,171980.70
24-10-2025 16:20:00,UPI/P2P/riyap48@ybl/RIYA PATEL,88782.00,,83198.70
15-11-2025 07:48:09,UPI/P2M/UTR53240/Electricit/Payment,1005.97,,82192.73
16-12-2025 18:30:40,BY CASH DEPOSIT - REF UTR15236,192838.78,,-110646.05
17-12-2025 16:10:51,CASH-DEP/BRANCH/UTR30461,140549.47,,-251195.52
18-12-2025 17:04:41,CASH-DEP/BRANCH/UTR71096,,7776.09,-243419.43
