Account Statement for: Atharva Bhattacharya
Account Number: 369278752883
Registered Phone: 6746930885
----------------------------------------
Date,Narration,Withdrawal,Deposit,Running_Balance
11-01-2025 19:15:31,ATM/CASH-WITHDRAWAL/Txn:UTR23722,8430.27,,65644.73
01-02-2025 11:52:24,ATM/CASH-WITHDRAWAL/Txn:UTR77718,4049.97,,61594.76
06-02-2025 01:22:32,UPI-MERCHANT-7695817918@ybl-Indian Oil,7427.90,,54166.86
10-02-2025 19:25:59,ATM-WDL/CASH/UTR87575,14520.98,,39645.88
01-03-2025 04:22:14,CASH-DEP/BRANCH/UTR60968,36962.52,,2683.36
03-03-2025 02:54:40,ATM/CASH-WITHDRAWAL/Txn:UTR33360,6664.64,,-3981.28
06-03-2025 16:32:19,UPI/P2M/UTR69003//Payment,,19751.82,15770.54
19-03-2025 12:07:14,ATM/CASH-WITHDRAWAL/Txn:UTR95277,19015.57,,-3245.03
14-04-2025 04:23:02,UPI-MERCHANT-meenakshi171@okaxis-,,15998.88,12753.85
25-04-2025 00:45:43,TXN-POS-UTR56365-6067585373,760214.71,,-747460.86
03-05-2025 22:54:31,UPI-MERCHANT-9297898204@paytm-BookMyShow,24623.28,,-772084.14
21-05-2025 18:12:42,ATM-WDL/CASH/UTR25392,,3325.27,-768758.87
12-06-2025 01:24:11,ATM/CASH-WITHDRAWAL/Txn:UTR69047,,8471.28,-760287.59
16-06-2025 10:19:49,ATM-WDL/CASH/UTR42730,,19195.48,-741092.11
17-06-2025 12:03:15,CASH-DEP/BRANCH/UTR14518,,14845.59,-726246.52
28-06-2025 14:11:56,UPI-MERCHANT-6067587903@okhdfcbank-,,17255.07,-708991.45
30-06-2025 19:30:37,ATM/CASH-WITHDRAWAL/Txn:UTR34675,,3223.67,-705767.78
07-07-2025 17:29:28,UPI/P2M/UTR68422//Payment,,17403.01,-688364.77
20-08-2025 12:43:29,ATM/CASH-WITHDRAWAL/Txn:UTR41474,,19228.22,-669136.55
31-08-2025 19:33:56,ATM-WDL/CASH/UTR28303,,714.37,-668422.18
02-10-2025 20:03:00,UPI-REV/9393284509/DAKSHA P/UTR23722,53220.00,,-721642.18
22-10-2025 03:58:10,UPI-MERCHANT-6997408265@apl-Bharat Petroleum,1251.67,,-722893.85
29-10-2025 02:10:42,IMPS/P2A/UTR60482/9411246557,5189.06,,-728082.91
04-11-2025 18:22:05,UPI/P2M/UTR16628//Payment,,20863.14,-707219.77
08-11-2025 21:52:16,UPI/P2M/UTR59724/Apollo Pha/Payment,5344.70,,-712564.47
03-12-2025 01:56:35,ATM-WDL/CASH/UTR49907,,8603.65,-703960.82
