Account Statement for: Pallavi Syed
Account Number: 990829923400
Registered Phone: 6781375555
----------------------------------------
Date,Narration,Withdrawal,Deposit,Running_Balance
30-01-2025 17:53:43,UPI/P2M/UTR10172/Electricit/Payment,15920.64,,101378.36
17-02-2025 11:09:18,CASH-DEP/BRANCH/UTR97057,30825.99,,70552.37
03-03-2025 19:49:25,UPI/P2M/UTR11375//Payment,,5905.99,76458.36
22-04-2025 14:57:14,BY CASH DEPOSIT - REF UTR33312,42625.66,,33832.70
08-05-2025 01:27:52,ATM/CASH-WITHDRAWAL/Txn:UTR92259,,2836.30,36669.00
10-05-2025 21:14:13,CASH-DEP/BRANCH/UTR33926,34264.82,,2404.18
14-06-2025 08:24:20,UPI/P2M/UTR25716/MedPlus/Payment,19825.67,,-17421.49
18-06-2025 09:18:02,UPI/P2M/UTR86048/Blinkit/Payment,2090.76,,-19512.25
23-06-2025 16:04:31,ATM-WDL/CASH/UTR72233,,19312.84,-199.41
29-06-2025 13:51:51,ATM/CASH-WITHDRAWAL/Txn:UTR57563,,11162.16,10962.75
05-07-2025 14:59:24,UPI-MERCHANT-akashwork@ybl-,,22222.35,33185.10
26-08-2025 02:19:37,CASH-DEP/BRANCH/UTR17090,36224.38,,-3039.28
29-08-2025 11:57:52,CASH-DEP/BRANCH/UTR47575,30950.26,,-33989.54
15-09-2025 01:32:14,UPI-MERCHANT-abanerjee@ybl-Indian Oil,18969.28,,-52958.82
19-09-2025 23:05:30,ATM/CASH-WITHDRAWAL/Txn:UTR60339,2765.61,,-55724.43
20-09-2025 22:03:00,NEFT-OUTWARD-NACHIKET PATHAN,25565.00,,-81289.43
04-10-2025 18:22:13,ATM-WDL/CASH/UTR99064,14353.80,,-95643.23
08-10-2025 23:49:01,CASH-DEP/BRANCH/UTR97875,28816.97,,-124460.20
11-10-2025 14:43:50,UPI-MERCHANT-ajay@ybl-Zomato,7930.57,,-132390.77
11-10-2025 23:40:59,IMPS-FUNDS-TRF-CHANDAN DA-UTR37987,,34114.78,-98275.99
22-10-2025 10:42:44,UPI/P2M/UTR60590/BookMyShow/Payment,5829.72,,-104105.71
19-11-2025 07:32:40,UPI-MERCHANT-sonali@oksbi-,,2947.33,-101158.38
24-11-2025 23:05:40,UPI/P2M/UTR64170/DMart/Payment,7189.20,,-108347.58
03-12-2025 20:16:40,UPI/P2M/UTR95543//Payment,,12643.17,-95704.41
17-12-2025 01:14:56,ATM-WDL/CASH/UTR64599,8902.50,,-104606.91
19-12-2025 00:22:48,ATM-WDL/CASH/UTR26637,6520.97,,-111127.88
26-12-2025 03:50:30,UPI-MERCHANT-kumar36@ybl-Water Board,1746.44,,-112874.32
31-12-2025 19:51:49,CASH-DEP/BRANCH/UTR43766,36391.87,,-149266.19
