Account Statement for: Akshara Soni
Account Number: 824204506457
Registered Phone: 6818128040
----------------------------------------
Date,Narration,Withdrawal,Deposit,Running_Balance
17-01-2025 10:32:59,UPI/P2M/UTR89864/Electricit/Payment,10959.68,,280698.32
26-01-2025 06:59:15,UPI-MERCHANT-anandr@apl-Zomato,5777.01,,274921.31
04-02-2025 13:15:57,ATM-WDL/CASH/UTR11883,12165.57,,262755.74
24-03-2025 19:34:47,UPI/P2M/UTR79802//Payment,,12676.30,275432.04
16-04-2025 09:21:59,BY CASH DEPOSIT - REF UTR55887,,7907.75,283339.79
18-05-2025 19:48:01,UPI-MERCHANT-damini917@okaxis-,,21841.70,305181.49
31-05-2025 03:53:46,UPI-MERCHANT-mrinali599@paytm-Bharat Petroleum,9620.43,,295561.06
02-06-2025 16:04:03,BY CASH DEPOSIT - REF UTR26451,,49852.36,345413.42
18-06-2025 16:24:23,IMPS-FUNDS-TRF-KOMAL ANSA-UTR15452,48744.13,,296669.29
22-06-2025 15:25:22,UPI-MERCHANT-hrao@paytm-Jio Recharge,11471.79,,285197.50
28-06-2025 04:41:51,ATM-WDL/CASH/UTR18791,1586.34,,283611.16
02-07-2025 10:22:58,ATM-WDL/CASH/UTR87287,,13797.85,297409.01
23-07-2025 04:43:53,UPI-MERCHANT-epandey@okaxis-Jio Recharge,1475.49,,295933.52
25-07-2025 11:40:17,CASH-DEP/BRANCH/UTR29887,,6763.61,302697.13
02-08-2025 09:46:17,UPI/P2M/UTR45604//Payment,,11937.81,314634.94
24-08-2025 08:59:11,ATM/CASH-WITHDRAWAL/Txn:UTR19079,,3312.30,317947.24
05-09-2025 07:30:57,UPI/P2M/UTR77916/MedPlus/Payment,436.92,,317510.32
07-09-2025 09:57:54,ATM-WDL/CASH/UTR17311,2586.43,,314923.89
16-09-2025 00:19:04,UPI-MERCHANT-jyotirwork@apl-,,8061.39,322985.28
20-09-2025 01:15:17,UPI/P2M/UTR19423/Myntra/Payment,17774.56,,305210.72
12-10-2025 02:59:26,UPI/P2M/UTR11139//Payment,,4839.38,310050.10
05-12-2025 02:14:51,BY CASH DEPOSIT - REF UTR19611,,164886.39,474936.49
23-12-2025 09:11:00,IMPS-FUNDS-TRF-PRACHI BAN-UTR89864,66557.00,,408379.49
