Account Statement for: Darshan Soni
Account Number: 506492881876
Registered Phone: 6855318594
----------------------------------------
Date,Narration,Withdrawal,Deposit,Running_Balance
02-01-2025 11:18:45,ATM/CASH-WITHDRAWAL/Txn:UTR16559,650.45,,146693.55
06-01-2025 12:01:39,UPI/P2M/UTR90960/MedPlus/Payment,23757.19,,122936.36
13-01-2025 09:18:35,UPI-MERCHANT-6890434993@paytm-Myntra,11918.06,,111018.30
13-01-2025 12:16:57,ATM-WDL/CASH/UTR53312,10905.49,,100112.81
15-01-2025 15:27:17,ATM-WDL/CASH/UTR30307,10170.98,,89941.83
16-01-2025 23:13:52,UPI/P2M/UTR54644//Payment,,72022.10,161963.93
02-02-2025 20:18:02,ATM/CASH-WITHDRAWAL/Txn:UTR89315,,16201.72,178165.65
04-03-2025 14:55:14,UPI/P2M/UTR67825/Indian Oil/Payment,13944.05,,164221.60
15-03-2025 16:44:56,UPI-MERCHANT-7349514830@apl-BigBasket,20825.16,,143396.44
18-03-2025 00:27:45,ATM/CASH-WITHDRAWAL/Txn:UTR59569,,12303.89,155700.33
17-04-2025 09:14:48,ATM-WDL/CASH/UTR34904,,8140.29,163840.62
28-04-2025 02:44:56,UPI/P2M/UTR10455/Jio Rechar/Payment,12757.61,,151083.01
28-04-2025 10:23:47,UPI/P2M/UTR29741/BigBasket/Payment,21786.98,,129296.03
01-05-2025 07:21:35,CASH-DEP/BRANCH/UTR23504,78109.51,,51186.52
18-05-2025 16:24:22,ATM/CASH-WITHDRAWAL/Txn:UTR29873,14399.03,,36787.49
26-05-2025 06:04:11,UPI-MERCHANT-6390395074@ibl-,,13668.61,50456.10
31-05-2025 18:28:29,BY CASH DEPOSIT - REF UTR15376,23392.39,,27063.71
10-06-2025 04:40:02,UPI-MERCHANT-manisha492@paytm-,,3602.29,30666.00
04-07-2025 04:03:10,UPI/P2M/UTR33661/Municipal /Payment,18375.98,,12290.02
09-07-2025 13:45:12,IMPS/P2A/UTR46708/7405963578,,15553.11,27843.13
18-07-2025 03:43:53,CASH-DEP/BRANCH/UTR96031,,10881.73,38724.86
30-07-2025 02:40:53,UPI-MERCHANT-arjun153@okhdfcbank-Ola,14194.88,,24529.98
03-08-2025 10:44:11,BY CASH DEPOSIT - REF UTR94898,,158112.03,182642.01
04-08-2025 01:54:32,ATM/CASH-WITHDRAWAL/Txn:UTR42994,,15664.42,198306.43
04-08-2025 16:53:08,UPI/P2M/UTR68653//Payment,,23013.70,221320.13
24-08-2025 01:16:23,BY CASH DEPOSIT - REF UTR13162,46320.64,,174999.49
06-09-2025 17:34:57,ATM/CASH-WITHDRAWAL/Txn:UTR36712,3620.88,,171378.61
10-09-2025 13:01:15,ATM/CASH-WITHDRAWAL/Txn:UTR44193,,11997.03,183375.64
16-09-2025 16:16:00,IMPS/P2A/UTR16559/9547374303,26540.00,,156835.64
19-09-2025 21:43:13,ATM/CASH-WITHDRAWAL/Txn:UTR45848,17288.43,,139547.21
22-09-2025 09:58:34,UPI-MERCHANT-krishna198@axl-,,19056.64,158603.85
01-10-2025 14:24:17,ATM/CASH-WITHDRAWAL/Txn:UTR14789,,10567.56,169171.41
01-10-2025 14:31:59,UPI-MERCHANT-kdeshmukh@okhdfcbank-Apollo Pharmacy,15566.51,,153604.90
02-10-2025 22:55:43,UPI/P2M/UTR18621/Water Boar/Payment,18309.39,,135295.51
05-10-2025 05:28:01,ATM/CASH-WITHDRAWAL/Txn:UTR56010,,13421.08,148716.59
14-10-2025 20:16:03,IMPS-FUNDS-TRF-KIRTI PRAS-UTR40874,38799.56,,109917.03
15-10-2025 13:22:27,UPI/P2M/UTR20290/Blinkit/Payment,24764.69,,85152.34
13-11-2025 23:02:47,UPI-MERCHANT-abhinav383@paytm-Municipal Corporation,20778.27,,64374.07
27-11-2025 18:36:39,CASH-DEP/BRANCH/UTR27482,76821.00,,-12446.93
03-12-2025 18:33:15,ATM-WDL/CASH/UTR51391,,1290.21,-11156.72
22-12-2025 07:21:24,ATM-WDL/CASH/UTR92662,,7127.08,-4029.64
25-12-2025 08:33:32,UPI/P2M/UTR90740/Uber/Payment,4160.78,,-8190.42
