Account Statement for: Niraj Mathew
Account Number: 427269835351
Registered Phone: 6907263270
----------------------------------------
Date,Narration,Withdrawal,Deposit,Running_Balance
05-01-2025 17:46:39,ATM/CASH-WITHDRAWAL/Txn:UTR66713,16481.29,,-3678.29
05-02-2025 05:18:22,BY CASH DEPOSIT - REF UTR67437,,6301.12,2622.83
07-02-2025 18:30:44,UPI-MERCHANT-hitesh85@oksbi-Municipal Corporation,13337.87,,-10715.04
28-02-2025 17:41:36,BY CASH DEPOSIT - REF UTR36316,50429.39,,-61144.43
18-03-2025 13:49:12,IMPS-FUNDS-TRF-DHRUV BORA-UTR38130,,1918.87,-59225.56
20-03-2025 15:28:24,CASH-DEP/BRANCH/UTR71546,,26563.54,-32662.02
23-03-2025 20:39:18,CASH-DEP/BRANCH/UTR53418,37033.42,,-69695.44
02-05-2025 01:23:05,BY CASH DEPOSIT - REF UTR39105,24763.09,,-94458.53
10-05-2025 18:23:16,ATM/CASH-WITHDRAWAL/Txn:UTR93976,,3147.63,-91310.90
18-05-2025 19:50:50,UPI-MERCHANT-chetan611@ibl-Uber,7280.12,,-98591.02
19-05-2025 23:50:38,CASH-DEP/BRANCH/UTR28917,,23965.36,-74625.66
22-06-2025 13:47:31,ATM/CASH-WITHDRAWAL/Txn:UTR75631,,5276.33,-69349.33
28-06-2025 18:02:12,ATM/CASH-WITHDRAWAL/Txn:UTR63291,,13779.44,-55569.89
01-07-2025 03:14:36,BY CASH DEPOSIT - REF UTR44044,49910.41,,-105480.30
29-07-2025 18:18:58,UPI/P2M/UTR37891/BigBasket/Payment,198.74,,-105679.04
07-08-2025 16:54:29,ATM-WDL/CASH/UTR47860,,1884.89,-103794.15
18-08-2025 20:52:52,BY CASH DEPOSIT - REF UTR73282,,35961.88,-67832.27
19-09-2025 02:50:09,ATM/CASH-WITHDRAWAL/Txn:UTR91503,3212.44,,-71044.71
20-09-2025 04:38:15,BY CASH DEPOSIT - REF UTR90162,,7911.33,-63133.38
05-10-2025 21:04:25,ATM-WDL/CASH/UTR62305,,10768.08,-52365.30
14-10-2025 04:23:39,UPI/P2M/UTR18108/BigBasket/Payment,8908.86,,-61274.16
16-10-2025 05:39:20,IMPS-FUNDS-TRF-SANGEETA S-UTR48257,,6813.92,-54460.24
24-10-2025 02:36:57,CASH-DEP/BRANCH/UTR39014,,29076.77,-25383.47
19-11-2025 00:48:15,ATM/CASH-WITHDRAWAL/Txn:UTR86197,,8495.79,-16887.68
21-11-2025 09:05:35,ATM/CASH-WITHDRAWAL/Txn:UTR96818,,31950.59,15062.91
25-11-2025 10:19:00,IMPS/P2A/UTR66713/8238721770,79536.00,,-64473.09
05-12-2025 17:44:49,BY CASH DEPOSIT - REF UTR99372,,27354.87,-37118.22
07-12-2025 06:48:29,ATM/CASH-WITHDRAWAL/Txn:UTR64027,14916.56,,-52034.78
27-12-2025 10:48:33,ATM-WDL/CASH/UTR73761,18351.83,,-70386.61
