Account Statement for: Dhara Sen
Account Number: 301826774066
Registered Phone: 6952074414
----------------------------------------
Date,Narration,Withdrawal,Deposit,Running_Balance
02-01-2025 06:27:11,ATM/CASH-WITHDRAWAL/Txn:UTR24108,11806.98,,265349.02
17-01-2025 11:17:07,UPI-MERCHANT-srishti@paytm-Apollo Pharmacy,12394.41,,252954.61
14-02-2025 09:36:00,UPI/TRANSFER/TO 7442580381/REFUTR24108,5158.00,,247796.61
23-02-2025 10:31:25,ATM/CASH-WITHDRAWAL/Txn:UTR37287,3513.95,,244282.66
05-03-2025 05:24:29,UPI-MERCHANT-snegi@ybl-Apollo Pharmacy,14001.58,,230281.08
06-03-2025 13:46:17,TXN-POS-UTR89605-7704481279,,1541.22,231822.30
11-03-2025 05:18:50,UPI/P2M/UTR17579/Zomato/Payment,6250.88,,225571.42
19-03-2025 06:51:59,CASH-DEP/BRANCH/UTR34683,161458.02,,64113.40
30-03-2025 15:01:45,CASH-DEP/BRANCH/UTR54764,47247.11,,16866.29
27-04-2025 18:14:45,UPI/P2M/UTR72754//Payment,,11595.88,28462.17
09-05-2025 14:08:22,UPI-MERCHANT-ojas615@axl-Municipal Corporation,3502.59,,24959.58
20-05-2025 07:46:10,UPI-MERCHANT-kumar36@ybl-,,10977.89,35937.47
04-06-2025 03:29:28,UPI-MERCHANT-lokesh376@okhdfcbank-,,12824.04,48761.51
21-07-2025 11:58:05,ATM/CASH-WITHDRAWAL/Txn:UTR56598,19261.33,,29500.18
30-07-2025 18:54:00,BY CASH DEPOSIT - REF UTR17641,4075.90,,25424.28
08-08-2025 06:53:00,UPI-MERCHANT-7061045842@axl-,,7441.51,32865.79
19-08-2025 17:17:15,CASH-DEP/BRANCH/UTR64668,,42863.24,75729.03
06-09-2025 22:20:54,IMPS-FUNDS-TRF-AMIT BOSE-UTR26394,,17156.37,92885.40
19-10-2025 07:00:06,ATM-WDL/CASH/UTR69594,,14270.06,107155.46
03-11-2025 21:04:29,ATM-WDL/CASH/UTR35103,,15816.02,122971.48
02-12-2025 06:46:26,UPI/P2M/UTR73829/Apollo Pha/Payment,2370.89,,120600.59
03-12-2025 01:58:57,BY CASH DEPOSIT - REF UTR63209,43561.16,,77039.43
04-12-2025 13:55:00,UPI/P2M/UTR66652//Payment,,2878.08,79917.51
15-12-2025 13:28:08,UPI/P2M/UTR31269//Payment,,7109.22,87026.73
21-12-2025 12:18:50,BY CASH DEPOSIT - REF UTR37668,44033.32,,42993.41
