Account Statement for: Chandan Chawla
Account Number: 617355484960
Registered Phone: 7101589949
----------------------------------------
Date,Narration,Withdrawal,Deposit,Running_Balance
02-01-2025 03:35:42,ATM/CASH-WITHDRAWAL/Txn:UTR59904,,13036.50,151920.50
27-01-2025 02:43:35,UPI/P2M/UTR89470/IRCTC/Payment,14089.83,,137830.67
04-03-2025 20:27:39,BY CASH DEPOSIT - REF UTR70477,,29381.95,167212.62
09-03-2025 14:29:00,IMPS/P2A/UTR89470/7835301377,25618.00,,141594.62
17-03-2025 15:59:32,UPI-MERCHANT-8315164174@axl-BigBasket,12920.06,,128674.56
24-03-2025 21:12:01,UPI/P2M/UTR24275/IRCTC/Payment,5180.02,,123494.54
26-03-2025 14:03:43,ATM-WDL/CASH/UTR93998,,10138.21,133632.75
02-04-2025 09:05:54,ATM-WDL/CASH/UTR30360,13975.91,,119656.84
15-04-2025 16:30:39,ATM/CASH-WITHDRAWAL/Txn:UTR38043,17626.09,,102030.75
02-05-2025 13:21:51,BY CASH DEPOSIT - REF UTR66575,1805.15,,100225.60
31-05-2025 22:37:35,IMPS-FUNDS-TRF-RAJ BEHERA-UTR32625,21028.52,,79197.08
23-06-2025 10:07:56,ATM/CASH-WITHDRAWAL/Txn:UTR69270,10575.27,,68621.81
27-07-2025 15:47:24,UPI/P2M/UTR98116//Payment,,17686.68,86308.49
06-08-2025 17:30:33,UPI/P2M/UTR60748//Payment,,5277.28,91585.77
07-08-2025 01:00:15,ATM-WDL/CASH/UTR26209,15733.60,,75852.17
24-08-2025 19:26:36,ATM/CASH-WITHDRAWAL/Txn:UTR34493,3406.11,,72446.06
01-09-2025 06:17:22,ATM/CASH-WITHDRAWAL/Txn:UTR30430,,5926.16,78372.22
09-09-2025 17:06:26,UPI/P2M/UTR10614/HP Petrol/Payment,19654.57,,58717.65
01-10-2025 03:02:32,UPI/P2M/UTR48328//Payment,,24011.35,82729.00
21-10-2025 18:00:14,IMPS/P2A/UTR22508/7168153605,,7097.34,89826.34
10-11-2025 16:14:07,UPI/P2M/UTR32274/Indian Oil/Payment,2451.72,,87374.62
18-12-2025 10:08:33,CASH-DEP/BRANCH/UTR86624,,42333.40,129708.02
22-12-2025 18:37:58,UPI-MERCHANT-kushs42@oksbi-Swiggy,14349.74,,115358.28
