Account Statement for: Aanya Kulkarni
Account Number: 771705902911
Registered Phone: 7105925045
----------------------------------------
Date,Narration,Withdrawal,Deposit,Running_Balance
06-01-2025 16:58:25,ATM/CASH-WITHDRAWAL/Txn:UTR85856,,12281.14,387210.14
08-01-2025 05:29:07,UPI/P2M/UTR96259//Payment,,10421.03,397631.17
27-01-2025 21:32:38,UPI-MERCHANT-7033743556@axl-Income Tax,18087.69,,379543.48
29-01-2025 14:31:17,ATM/CASH-WITHDRAWAL/Txn:UTR92074,,17873.58,397417.06
08-02-2025 13:27:41,ATM-WDL/CASH/UTR69071,18894.40,,378522.66
18-02-2025 15:31:51,UPI-MERCHANT-abagchi@okaxis-,,22422.25,400944.91
22-02-2025 20:27:01,CASH-DEP/BRANCH/UTR65335,,41002.99,441947.90
01-03-2025 15:54:13,ATM-WDL/CASH/UTR64640,,17727.71,459675.61
16-03-2025 14:05:23,UPI/P2M/UTR97504/Uber/Payment,16237.73,,443437.88
19-03-2025 19:32:00,ATM-WDL/CASH/UTR42375,10441.94,,432995.94
23-03-2025 11:21:16,ATM-WDL/CASH/UTR19628,17039.84,,415956.10
02-04-2025 08:49:02,ATM-WDL/CASH/UTR72985,,9992.86,425948.96
13-04-2025 13:09:33,UPI/P2M/UTR18474//Payment,,1673.07,427622.03
17-04-2025 03:10:51,UPI-MERCHANT-asolanki@axl-,,756.98,428379.01
27-04-2025 18:46:12,ATM-WDL/CASH/UTR10275,15724.74,,412654.27
28-04-2025 10:47:48,ATM-WDL/CASH/UTR64559,,5730.78,418385.05
14-05-2025 10:10:06,ATM-WDL/CASH/UTR67011,19483.43,,398901.62
21-05-2025 03:22:24,ATM-WDL/CASH/UTR36842,7563.43,,391338.19
24-05-2025 17:47:47,ATM-WDL/CASH/UTR96419,17612.05,,373726.14
05-06-2025 02:56:46,CASH-DEP/BRANCH/UTR19829,9363.92,,364362.22
05-06-2025 12:58:05,CASH-DEP/BRANCH/UTR70778,24800.65,,339561.57
