Account Statement for: Shilpa Negi
Account Number: 534708616451
Registered Phone: 7156536541
----------------------------------------
Date,Narration,Withdrawal,Deposit,Running_Balance
03-01-2025 00:47:05,ATM/CASH-WITHDRAWAL/Txn:UTR71526,6854.88,,389148.12
13-01-2025 13:29:32,CASH-DEP/BRANCH/UTR47625,16835.45,,372312.67
21-01-2025 04:27:29,UPI-MERCHANT-7413946890@oksbi-Income Tax,20992.03,,351320.64
23-01-2025 18:33:42,UPI/P2M/UTR98217/Blinkit/Payment,24362.17,,326958.47
25-01-2025 18:56:13,ATM-WDL/CASH/UTR95026,,5214.15,332172.62
29-01-2025 03:55:54,BY CASH DEPOSIT - REF UTR93614,5432.87,,326739.75
31-01-2025 01:22:56,BY CASH DEPOSIT - REF UTR63567,,29027.66,355767.41
03-02-2025 15:50:59,UPI/P2M/UTR27704/Swiggy/Payment,24831.11,,330936.30
12-02-2025 19:21:46,ATM-WDL/CASH/UTR80357,18634.70,,312301.60
15-02-2025 13:47:18,ATM/CASH-WITHDRAWAL/Txn:UTR95166,14514.13,,297787.47
16-02-2025 15:11:28,UPI-MERCHANT-7304462314@oksbi-,,22022.94,319810.41
17-02-2025 16:36:43,ATM-WDL/CASH/UTR33110,,15760.67,335571.08
25-02-2025 10:20:32,UPI/P2M/UTR14281//Payment,,19596.59,355167.67
26-02-2025 12:29:15,UPI/P2M/UTR14763//Payment,,15894.89,371062.56
01-03-2025 12:20:30,CASH-DEP/BRANCH/UTR35448,,37241.71,408304.27
05-03-2025 05:24:29,UPI/P2M/UTR27764//Payment,,14001.58,422305.85
05-03-2025 07:30:18,UPI/P2M/UTR29405/BookMyShow/Payment,154.11,,422151.74
10-03-2025 10:25:21,BY CASH DEPOSIT - REF UTR86127,,23641.35,445793.09
12-04-2025 02:44:34,CASH-DEP/BRANCH/UTR88534,31504.95,,414288.14
14-04-2025 23:00:33,ATM-WDL/CASH/UTR24285,,15331.34,429619.48
04-05-2025 15:36:00,NEFT-OUTWARD-INDER SAWANT,92917.00,,336702.48
05-05-2025 22:03:53,UPI-MERCHANT-kushwork@axl-,,18454.80,355157.28
13-05-2025 22:23:33,ATM-WDL/CASH/UTR86635,9217.36,,345939.92
19-05-2025 01:24:10,CASH-DEP/BRANCH/UTR74886,11392.32,,334547.60
29-05-2025 23:15:33,ATM-WDL/CASH/UTR51224,,30158.40,364706.00
06-06-2025 15:23:07,IMPS-FUNDS-TRF-ADITI IYER-UTR18506,10470.46,,354235.54
09-06-2025 19:02:59,UPI/P2M/UTR25599//Payment,,6357.36,360592.90
17-06-2025 15:30:54,UPI-MERCHANT-gunjan687@apl-,,13757.57,374350.47
26-06-2025 15:45:00,UPI/P2M/UTR30250/Apollo Pha/Payment,21880.15,,352470.32
09-07-2025 14:02:23,ATM-WDL/CASH/UTR57955,,268.25,352738.57
30-07-2025 17:52:56,IMPS-FUNDS-TRF-OJAS BOSE-UTR30308,5099.85,,347638.72
27-08-2025 12:27:05,ATM/CASH-WITHDRAWAL/Txn:UTR67586,,10196.52,357835.24
03-09-2025 14:01:48,UPI/P2M/UTR65643/IRCTC/Payment,18639.54,,339195.70
17-09-2025 09:36:15,IMPS/P2A/UTR45458/6713812095,,12824.14,352019.84
26-09-2025 18:40:16,CASH-DEP/BRANCH/UTR32010,,24707.25,376727.09
28-09-2025 17:47:49,UPI/P2M/UTR29379/Ola/Payment,7828.00,,368899.09
02-10-2025 01:00:27,ATM/CASH-WITHDRAWAL/Txn:UTR21850,,7249.24,376148.33
02-10-2025 10:30:41,ATM/CASH-WITHDRAWAL/Txn:UTR62175,,1042.80,377191.13
07-10-2025 18:35:07,CASH-DEP/BRANCH/UTR25495,,27624.57,404815.70
14-10-2025 12:30:10,IMPS/P2A/UTR44082/7964837192,,36328.03,441143.73
30-10-2025 22:18:53,CASH-DEP/BRANCH/UTR56618,14509.83,,426633.90
10-11-2025 14:02:47,ATM-WDL/CASH/UTR23508,,19756.32,446390.22
13-11-2025 03:50:20,UPI-MERCHANT-mihirwork@axl-Airtel Recharge,5889.28,,440500.94
15-11-2025 09:25:51,UPI-MERCHANT-6143387394@okhdfcbank-Flipkart,6891.35,,433609.59
15-11-2025 21:52:56,IMPS/P2A/UTR27243/9444182370,3384.89,,430224.70
17-11-2025 11:56:19,UPI-MERCHANT-8924982791@okaxis-Bharat Petroleum,478.26,,429746.44
28-11-2025 10:37:01,UPI-MERCHANT-dev539@paytm-,,1415.63,431162.07
13-12-2025 18:12:59,UPI/P2M/UTR25276//Payment,,8775.40,439937.47
25-12-2025 13:03:53,ATM-WDL/CASH/UTR63347,6025.95,,433911.52
29-12-2025 05:39:39,UPI-MERCHANT-8804752829@apl-BigBasket,19037.92,,414873.60
