Account Statement for: Anika Patel
Account Number: 400606348600
Registered Phone: 7180768824
----------------------------------------
Date,Narration,Withdrawal,Deposit,Running_Balance
03-01-2025 00:24:44,UPI-MERCHANT-shikha499@ibl-,,10811.85,118162.85
06-01-2025 17:40:19,UPI-MERCHANT-manish279@okaxis-IRCTC,18312.14,,99850.71
07-01-2025 20:41:46,ATM/CASH-WITHDRAWAL/Txn:UTR25246,1441.89,,98408.82
12-01-2025 08:05:58,UPI/P2M/UTR48132//Payment,,7104.66,105513.48
23-01-2025 12:51:26,ATM-WDL/CASH/UTR84897,16054.96,,89458.52
26-01-2025 05:05:29,UPI-MERCHANT-7656527729@ibl-Uber,23884.25,,65574.27
28-01-2025 05:55:47,UPI/P2M/UTR34295//Payment,,394.61,65968.88
08-02-2025 04:21:58,UPI/P2M/UTR80617/Income Tax/Payment,2459.96,,63508.92
17-02-2025 10:03:18,ATM-WDL/CASH/UTR93950,,17746.03,81254.95
24-02-2025 23:16:20,ATM-WDL/CASH/UTR86382,9879.21,,71375.74
21-03-2025 02:01:29,ATM/CASH-WITHDRAWAL/Txn:UTR83855,,4053.38,75429.12
31-03-2025 14:58:20,CASH-DEP/BRANCH/UTR22010,22931.99,,52497.13
03-04-2025 07:22:59,BY CASH DEPOSIT - REF UTR65255,,146549.22,199046.35
05-04-2025 02:20:19,UPI/P2M/UTR41419/Zomato/Payment,17022.74,,182023.61
05-04-2025 05:43:39,ATM-WDL/CASH/UTR31161,12972.43,,169051.18
09-04-2025 01:31:53,UPI/P2M/UTR50942/Bharat Pet/Payment,6374.38,,162676.80
09-04-2025 11:52:50,BY CASH DEPOSIT - REF UTR44886,,6554.40,169231.20
15-04-2025 22:14:40,IMPS-FUNDS-TRF-SANKET ACH-UTR52301,47213.55,,122017.65
16-04-2025 09:00:38,ATM-WDL/CASH/UTR76854,15653.85,,106363.80
20-04-2025 02:38:09,UPI/P2M/UTR81404//Payment,,21900.02,128263.82
23-04-2025 17:06:57,CASH-DEP/BRANCH/UTR77628,9381.05,,118882.77
30-04-2025 20:37:37,BY CASH DEPOSIT - REF UTR82246,5044.27,,113838.50
05-05-2025 04:50:19,IMPS/P2A/UTR15953/9298627886,36644.01,,77194.49
05-05-2025 13:26:45,UPI/P2M/UTR83782/MedPlus/Payment,13556.52,,63637.97
07-05-2025 15:35:21,ATM/CASH-WITHDRAWAL/Txn:UTR71005,12119.06,,51518.91
18-05-2025 05:23:35,IMPS-FUNDS-TRF-SALONI KRI-UTR94173,3082.51,,48436.40
21-05-2025 00:42:16,CASH-DEP/BRANCH/UTR28226,22093.37,,26343.03
29-05-2025 06:24:36,UPI/P2M/UTR97942/DMart/Payment,2376.62,,23966.41
31-05-2025 10:47:39,CASH-DEP/BRANCH/UTR59434,,10626.18,34592.59
04-06-2025 08:03:05,CASH-DEP/BRANCH/UTR59695,,46765.15,81357.74
07-06-2025 13:20:42,ATM/CASH-WITHDRAWAL/Txn:UTR65684,17044.48,,64313.26
11-06-2025 03:15:44,UPI/P2M/UTR32019//Payment,,6067.13,70380.39
14-06-2025 16:09:34,UPI-MERCHANT-7153646804@oksbi-,,14984.54,85364.93
28-06-2025 03:09:53,CASH-DEP/BRANCH/UTR59057,6276.11,,79088.82
