Account Statement for: Nivedita Tiwari
Account Number: 943112306611
Registered Phone: 7214168272
----------------------------------------
Date,Narration,Withdrawal,Deposit,Running_Balance
08-01-2025 11:31:42,ATM-WDL/CASH/UTR66285,11447.27,,325293.73
21-01-2025 06:13:28,ATM-WDL/CASH/UTR56356,7757.56,,317536.17
25-01-2025 11:27:44,ATM/CASH-WITHDRAWAL/Txn:UTR10047,15628.82,,301907.35
06-02-2025 04:30:01,CASH-DEP/BRANCH/UTR31430,,35328.60,337235.95
24-02-2025 13:05:06,ATM-WDL/CASH/UTR68748,,8953.13,346189.08
01-04-2025 10:53:07,IMPS-FUNDS-TRF-RESHMA BOS-UTR10253,7104.19,,339084.89
25-04-2025 07:06:17,UPI/P2M/UTR74930/Airtel Rec/Payment,18917.87,,320167.02
30-04-2025 02:23:12,ATM-WDL/CASH/UTR55847,,14830.61,334997.63
08-05-2025 12:26:11,UPI-MERCHANT-9755828703@ibl-Indian Oil,16265.10,,318732.53
10-05-2025 23:22:17,ATM-WDL/CASH/UTR54690,6788.83,,311943.70
17-05-2025 14:40:01,IMPS-FUNDS-TRF-ANUPAM MOR-UTR89099,,46326.08,358269.78
29-05-2025 21:12:18,BY CASH DEPOSIT - REF UTR15898,,28520.59,386790.37
09-06-2025 15:34:12,ATM/CASH-WITHDRAWAL/Txn:UTR88745,6116.90,,380673.47
24-06-2025 07:26:44,ATM-WDL/CASH/UTR58557,14719.79,,365953.68
29-06-2025 09:05:46,IMPS-FUNDS-TRF-SANJAY CHA-UTR99581,41883.26,,324070.42
03-07-2025 17:51:04,UPI/P2M/UTR15220//Payment,,22931.48,347001.90
07-07-2025 20:32:00,UPI/P2P/8957674315@oksbi/AJAY PAUL,17068.00,,329933.90
20-07-2025 17:32:28,CASH-DEP/BRANCH/UTR18856,,13456.97,343390.87
28-07-2025 11:02:32,IMPS/P2A/UTR92239/6533241848,,41705.78,385096.65
04-09-2025 04:27:43,CASH-DEP/BRANCH/UTR75835,,10386.03,395482.68
05-09-2025 22:21:26,UPI/P2M/UTR57868//Payment,,636.11,396118.79
19-09-2025 13:15:24,BY CASH DEPOSIT - REF UTR21271,13852.15,,382266.64
01-10-2025 15:50:11,CASH-DEP/BRANCH/UTR34054,28587.34,,353679.30
12-10-2025 06:58:14,CASH-DEP/BRANCH/UTR47256,,13836.82,367516.12
13-10-2025 21:01:04,BY CASH DEPOSIT - REF UTR39777,,125480.06,492996.18
27-10-2025 22:53:23,BY CASH DEPOSIT - REF UTR42256,,12797.94,505794.12
07-11-2025 13:34:13,BY CASH DEPOSIT - REF UTR48644,,4171.14,509965.26
11-11-2025 19:46:41,ATM-WDL/CASH/UTR66725,10014.62,,499950.64
14-11-2025 04:16:52,UPI/P2M/UTR16012//Payment,,17872.22,517822.86
24-11-2025 06:36:21,ATM/CASH-WITHDRAWAL/Txn:UTR51861,29471.78,,488351.08
15-12-2025 21:47:14,CASH-DEP/BRANCH/UTR45654,8943.03,,479408.05
19-12-2025 02:20:10,UPI/P2M/UTR74873//Payment,,4235.97,483644.02
24-12-2025 00:51:56,UPI-MERCHANT-leela26@apl-Municipal Corporation,9330.60,,474313.42
28-12-2025 21:45:23,UPI-MERCHANT-6226722085@oksbi-,,14743.54,489056.96
