Account Statement for: Ankit Menon
Account Number: 377319814572
Registered Phone: 7246906635
----------------------------------------
Date,Narration,Withdrawal,Deposit,Running_Balance
14-01-2025 03:04:55,BY CASH DEPOSIT - REF UTR29554,101722.97,,91968.03
09-02-2025 09:47:53,UPI/P2M/UTR44596/Jio Rechar/Payment,19444.45,,72523.58
13-03-2025 16:13:12,IMPS/P2A/UTR24906/6226265278,,44871.72,117395.30
31-03-2025 16:17:15,ATM/CASH-WITHDRAWAL/Txn:UTR63054,,14989.20,132384.50
18-04-2025 03:21:31,ATM-WDL/CASH/UTR54533,,7310.71,139695.21
19-04-2025 14:13:02,BY CASH DEPOSIT - REF UTR64930,,30512.64,170207.85
02-05-2025 05:57:17,ATM/CASH-WITHDRAWAL/Txn:UTR27984,1976.81,,168231.04
20-05-2025 20:38:18,IMPS/P2A/UTR69495/9661983775,,23696.91,191927.95
26-05-2025 07:27:42,IMPS/P2A/UTR74771/8537675188,,49075.50,241003.45
09-06-2025 20:03:29,UPI/P2M/UTR62447//Payment,,15197.39,256200.84
14-06-2025 02:07:08,UPI-MERCHANT-8901744348@paytm-,,2522.91,258723.75
02-08-2025 07:57:53,ATM/CASH-WITHDRAWAL/Txn:UTR98568,,3664.01,262387.76
05-08-2025 20:02:55,ATM/CASH-WITHDRAWAL/Txn:UTR50771,,16560.78,278948.54
31-08-2025 08:56:29,CASH-DEP/BRANCH/UTR36217,33229.74,,245718.80
18-09-2025 05:57:37,UPI/P2M/UTR79664//Payment,,5958.17,251676.97
02-10-2025 04:42:03,ATM/CASH-WITHDRAWAL/Txn:UTR57351,515.80,,251161.17
10-11-2025 20:19:00,UPI/TRANSFER/TO 8528063909/REFUTR29554,80352.00,,170809.17
21-11-2025 02:16:26,UPI/P2M/UTR19285/Flipkart/Payment,20430.53,,150378.64
15-12-2025 10:02:42,ATM/CASH-WITHDRAWAL/Txn:UTR85156,17873.51,,132505.13
16-12-2025 13:07:01,CASH-DEP/BRANCH/UTR10407,,8392.98,140898.11
22-12-2025 16:09:30,IMPS/P2A/UTR58472/6350110397,43382.99,,97515.12
