Account Statement for: Naresh Jain
Account Number: 767751205832
Registered Phone: 7250328744
----------------------------------------
Date,Narration,Withdrawal,Deposit,Running_Balance
26-01-2025 20:17:59,IMPS/P2A/UTR32789/9074992781,98905.79,,20177.21
14-02-2025 01:58:40,IMPS/P2A/UTR99211/8600414928,47091.35,,-26914.14
14-02-2025 06:59:05,ATM/CASH-WITHDRAWAL/Txn:UTR20921,,5275.34,-21638.80
06-03-2025 04:04:19,UPI-MERCHANT-arvind835@ibl-Water Board,4451.61,,-26090.41
14-03-2025 06:06:29,CASH-DEP/BRANCH/UTR93292,5862.34,,-31952.75
19-03-2025 17:01:34,ATM-WDL/CASH/UTR16211,6702.23,,-38654.98
25-03-2025 13:38:09,ATM/CASH-WITHDRAWAL/Txn:UTR61158,10720.73,,-49375.71
14-04-2025 11:54:39,ATM-WDL/CASH/UTR32643,8279.78,,-57655.49
24-04-2025 13:06:00,IMPS/P2A/UTR32789/9074992781,27252.00,,-84907.49
14-05-2025 05:56:19,UPI-MERCHANT-paramwork@ibl-Municipal Corporation,3063.13,,-87970.62
07-06-2025 11:11:08,ATM-WDL/CASH/UTR45112,13698.16,,-101668.78
08-06-2025 02:40:35,ATM-WDL/CASH/UTR32055,5898.33,,-107567.11
08-06-2025 06:39:55,BY CASH DEPOSIT - REF UTR25247,,43786.25,-63780.86
11-07-2025 00:21:13,IMPS-FUNDS-TRF-KALPANA SR-UTR79018,,43105.63,-20675.23
13-07-2025 15:58:41,BY CASH DEPOSIT - REF UTR82251,47334.71,,-68009.94
27-07-2025 12:08:26,BY CASH DEPOSIT - REF UTR63571,,40371.14,-27638.80
24-09-2025 01:38:26,UPI-MERCHANT-glal@ybl-Income Tax,17533.09,,-45171.89
03-11-2025 20:50:46,CASH-DEP/BRANCH/UTR35980,11140.81,,-56312.70
09-11-2025 04:07:52,UPI-MERCHANT-garima600@axl-Swiggy,39875.69,,-96188.39
29-11-2025 21:43:04,ATM-WDL/CASH/UTR93499,9284.08,,-105472.47
