Account Statement for: Rajesh Mohanty
Account Number: 951954269697
Registered Phone: 7273731310
----------------------------------------
Date,Narration,Withdrawal,Deposit,Running_Balance
12-01-2025 17:49:52,ATM/CASH-WITHDRAWAL/Txn:UTR22630,3254.31,,169849.69
02-02-2025 12:10:03,ATM/CASH-WITHDRAWAL/Txn:UTR30044,18546.62,,151303.07
24-02-2025 17:20:09,ATM-WDL/CASH/UTR19638,18666.13,,132636.94
05-03-2025 14:21:52,ATM/CASH-WITHDRAWAL/Txn:UTR93141,4064.73,,128572.21
03-04-2025 18:11:49,UPI-MERCHANT-lokesh683@ibl-BookMyShow,23519.46,,105052.75
18-04-2025 07:49:41,UPI-MERCHANT-7485545940@ibl-,,14584.20,119636.95
22-04-2025 15:57:02,UPI/P2M/UTR24065//Payment,,16431.33,136068.28
30-04-2025 00:16:38,IMPS/P2A/UTR89221/9712276284,,42160.40,178228.68
06-05-2025 20:11:46,ATM/CASH-WITHDRAWAL/Txn:UTR94160,14302.77,,163925.91
05-06-2025 04:58:46,ATM-WDL/CASH/UTR53658,,1265.67,165191.58
06-06-2025 07:09:11,ATM-WDL/CASH/UTR16560,,17864.99,183056.57
17-06-2025 23:21:34,CASH-DEP/BRANCH/UTR29286,,137565.21,320621.78
25-06-2025 22:29:56,ATM/CASH-WITHDRAWAL/Txn:UTR40548,6751.25,,313870.53
19-07-2025 20:56:03,UPI/P2M/UTR39676//Payment,,23260.08,337130.61
27-07-2025 05:15:14,UPI-MERCHANT-dakshwork@axl-Income Tax,20722.77,,316407.84
04-08-2025 06:33:47,ATM/CASH-WITHDRAWAL/Txn:UTR90427,4064.52,,312343.32
12-08-2025 02:01:38,UPI/P2M/UTR18218/Amazon/Payment,21340.83,,291002.49
31-08-2025 19:33:56,ATM-WDL/CASH/UTR28303,714.37,,290288.12
10-09-2025 14:45:50,ATM/CASH-WITHDRAWAL/Txn:UTR31645,,12094.32,302382.44
20-09-2025 02:20:39,IMPS-FUNDS-TRF-KOMAL SUBR-UTR32065,,42271.46,344653.90
29-09-2025 13:43:59,BY CASH DEPOSIT - REF UTR67264,,10163.82,354817.72
02-10-2025 07:26:34,ATM/CASH-WITHDRAWAL/Txn:UTR92355,9177.11,,345640.61
03-10-2025 06:33:12,ATM/CASH-WITHDRAWAL/Txn:UTR26426,3440.65,,342199.96
05-10-2025 12:50:00,NEFT-OUTWARD-CHANDANI MALHOTRA,69215.00,,272984.96
11-10-2025 08:05:08,ATM-WDL/CASH/UTR68000,3326.14,,269658.82
13-10-2025 02:38:19,IMPS-FUNDS-TRF-KANIKA DUB-UTR95772,,45559.51,315218.33
29-10-2025 14:40:38,UPI-MERCHANT-7889856220@paytm-,,3555.54,318773.87
30-10-2025 01:30:33,BY CASH DEPOSIT - REF UTR93693,,47429.60,366203.47
