Account Statement for: Rani Trivedi
Account Number: 245612849988
Registered Phone: 7309592002
----------------------------------------
Date,Narration,Withdrawal,Deposit,Running_Balance
13-01-2025 02:50:18,ATM-WDL/CASH/UTR89504,,4023.05,55361.05
16-01-2025 06:31:26,UPI/P2M/UTR97935/LIC/Payment,2820.64,,52540.41
23-01-2025 13:04:08,BY CASH DEPOSIT - REF UTR82779,123947.67,,-71407.26
25-01-2025 03:49:42,IMPS/P2A/UTR43320/7926205514,29967.64,,-101374.90
27-01-2025 09:33:51,BY CASH DEPOSIT - REF UTR61594,157555.24,,-258930.14
28-01-2025 21:24:34,BY CASH DEPOSIT - REF UTR32962,,35116.64,-223813.50
14-02-2025 23:38:15,UPI/P2M/UTR15938//Payment,,17978.31,-205835.19
01-04-2025 05:54:24,ATM-WDL/CASH/UTR23644,5673.98,,-211509.17
13-04-2025 06:54:09,UPI/P2M/UTR63963/Bharat Pet/Payment,10251.17,,-221760.34
16-04-2025 16:57:00,IMPS/P2A/UTR97935/8235595849,95009.00,,-316769.34
28-04-2025 21:42:50,ATM-WDL/CASH/UTR15813,,10291.56,-306477.78
14-05-2025 08:14:21,BY CASH DEPOSIT - REF UTR36812,19589.61,,-326067.39
21-06-2025 05:56:37,ATM-WDL/CASH/UTR56830,,11698.72,-314368.67
08-07-2025 18:21:05,ATM-WDL/CASH/UTR35564,,3727.18,-310641.49
09-07-2025 23:10:20,ATM-WDL/CASH/UTR72892,5995.44,,-316636.93
21-07-2025 14:39:50,IMPS-FUNDS-TRF-AKSHAY PIL-UTR99054,22422.96,,-339059.89
24-07-2025 12:13:03,IMPS/P2A/UTR11946/8266399146,25857.72,,-364917.61
26-07-2025 22:10:34,UPI/P2M/UTR27019//Payment,,13706.86,-351210.75
18-08-2025 20:16:26,UPI/P2M/UTR97327//Payment,,17233.72,-333977.03
03-09-2025 17:02:06,BY CASH DEPOSIT - REF UTR10113,26489.54,,-360466.57
06-09-2025 03:32:22,ATM-WDL/CASH/UTR44765,,11814.16,-348652.41
04-10-2025 16:00:54,CASH-DEP/BRANCH/UTR15035,,49828.40,-298824.01
06-10-2025 10:37:38,ATM/CASH-WITHDRAWAL/Txn:UTR66409,23755.61,,-322579.62
11-10-2025 04:59:29,CASH-DEP/BRANCH/UTR31619,31621.87,,-354201.49
07-12-2025 22:08:35,ATM-WDL/CASH/UTR59328,4773.52,,-358975.01
12-12-2025 10:38:35,BY CASH DEPOSIT - REF UTR66652,,24652.17,-334322.84
27-12-2025 16:53:09,UPI/P2M/UTR84492/Airtel Rec/Payment,8575.56,,-342898.40
