Account Statement for: Kamal Mehta
Account Number: 180691835572
Registered Phone: 7355269541
----------------------------------------
Date,Narration,Withdrawal,Deposit,Running_Balance
01-01-2025 10:28:15,UPI/P2M/UTR78821/Ola/Payment,18354.45,,325485.55
04-01-2025 13:28:45,UPI-MERCHANT-8686745159@oksbi-,,21484.81,346970.36
20-01-2025 12:22:47,UPI-MERCHANT-8837566907@paytm-LIC,1621.62,,345348.74
25-01-2025 18:40:08,ATM-WDL/CASH/UTR46681,19893.78,,325454.96
30-01-2025 11:24:28,IMPS/P2A/UTR50194/8946807760,,29491.19,354946.15
03-02-2025 22:19:35,ATM-WDL/CASH/UTR48254,,16980.78,371926.93
09-02-2025 17:22:28,ATM/CASH-WITHDRAWAL/Txn:UTR56262,,14984.01,386910.94
10-02-2025 08:44:55,UPI/P2M/UTR93509//Payment,,18459.14,405370.08
23-02-2025 13:10:18,IMPS/P2A/UTR91233/8901852904,,15916.25,421286.33
23-02-2025 20:23:30,UPI/P2M/UTR87695//Payment,,2615.90,423902.23
05-03-2025 04:33:24,UPI-MERCHANT-ishwar732@ybl-Municipal Corporation,16379.56,,407522.67
07-03-2025 12:25:18,UPI/P2M/UTR49268//Payment,,595.10,408117.77
23-03-2025 21:05:42,CASH-DEP/BRANCH/UTR54157,,40292.65,448410.42
26-03-2025 15:35:30,ATM-WDL/CASH/UTR40181,3411.81,,444998.61
30-03-2025 16:12:51,BY CASH DEPOSIT - REF UTR62439,155817.19,,289181.42
31-03-2025 06:53:30,ATM/CASH-WITHDRAWAL/Txn:UTR17704,5665.73,,283515.69
08-04-2025 21:42:31,UPI-MERCHANT-8329880426@ybl-BigBasket,16946.42,,266569.27
09-04-2025 16:19:54,UPI/P2M/UTR92751/HP Petrol/Payment,18390.57,,248178.70
14-04-2025 17:39:29,CASH-DEP/BRANCH/UTR16321,,38777.91,286956.61
07-05-2025 03:46:21,UPI-MERCHANT-8688259248@ibl-,,7435.53,294392.14
09-05-2025 22:17:28,ATM/CASH-WITHDRAWAL/Txn:UTR95037,14604.11,,279788.03
18-05-2025 13:55:59,ATM/CASH-WITHDRAWAL/Txn:UTR52043,1300.70,,278487.33
18-05-2025 14:22:42,ATM-WDL/CASH/UTR13095,,13253.92,291741.25
23-05-2025 10:08:22,CASH-DEP/BRANCH/UTR41592,38217.15,,253524.10
04-06-2025 17:30:56,UPI-MERCHANT-randhirwork@axl-,,11805.54,265329.64
19-06-2025 11:33:52,ATM-WDL/CASH/UTR68255,13685.40,,251644.24
20-06-2025 00:04:07,CASH-DEP/BRANCH/UTR14792,4861.51,,246782.73
22-06-2025 03:02:56,ATM/CASH-WITHDRAWAL/Txn:UTR83661,32160.35,,214622.38
29-06-2025 06:46:12,UPI-MERCHANT-amol607@apl-,,11532.27,226154.65
30-06-2025 22:34:24,ATM/CASH-WITHDRAWAL/Txn:UTR11887,11853.84,,214300.81
04-07-2025 12:29:03,IMPS-FUNDS-TRF-MANISH ALI-UTR71104,131687.80,,82613.01
06-07-2025 06:51:41,UPI-MERCHANT-kriti291@ibl-,,14875.91,97488.92
17-07-2025 11:34:42,ATM/CASH-WITHDRAWAL/Txn:UTR62600,2129.82,,95359.10
26-07-2025 15:31:36,ATM-WDL/CASH/UTR42152,3183.37,,92175.73
03-08-2025 08:56:09,ATM/CASH-WITHDRAWAL/Txn:UTR18921,8667.76,,83507.97
05-08-2025 15:35:25,ATM-WDL/CASH/UTR71506,,17547.43,101055.40
06-08-2025 11:47:39,CASH-DEP/BRANCH/UTR91158,9943.66,,91111.74
08-08-2025 23:56:33,ATM-WDL/CASH/UTR15442,38314.28,,52797.46
22-08-2025 21:47:15,ATM-WDL/CASH/UTR36629,,14224.85,67022.31
12-09-2025 17:37:21,CASH-DEP/BRANCH/UTR16882,,16457.48,83479.79
23-09-2025 17:08:39,UPI/P2M/UTR57154/Water Boar/Payment,9965.66,,73514.13
26-09-2025 12:12:53,BY CASH DEPOSIT - REF UTR73677,49505.02,,24009.11
28-09-2025 00:37:49,UPI-MERCHANT-brahma702@okhdfcbank-,,10504.87,34513.98
05-10-2025 05:22:12,CASH-DEP/BRANCH/UTR96835,26588.08,,7925.90
13-10-2025 12:43:19,CASH-DEP/BRANCH/UTR95093,,42686.71,50612.61
16-10-2025 05:18:53,UPI/P2M/UTR66560//Payment,,22607.77,73220.38
22-10-2025 03:56:10,ATM-WDL/CASH/UTR35515,12049.67,,61170.71
29-10-2025 21:12:52,ATM/CASH-WITHDRAWAL/Txn:UTR58688,16193.21,,44977.50
30-10-2025 20:15:02,ATM/CASH-WITHDRAWAL/Txn:UTR12835,,17283.40,62260.90
01-11-2025 00:37:30,IMPS/P2A/UTR21021/6326848177,30018.07,,32242.83
05-11-2025 00:30:30,UPI-MERCHANT-9503703249@oksbi-Income Tax,1829.81,,30413.02
08-11-2025 15:02:43,UPI/P2M/UTR32050/BookMyShow/Payment,45820.87,,-15407.85
09-11-2025 18:03:18,UPI/P2M/UTR53901/Uber/Payment,6166.84,,-21574.69
16-11-2025 01:22:52,UPI-MERCHANT-renuwork@okaxis-Reliance Fresh,14950.89,,-36525.58
20-11-2025 20:08:06,BY CASH DEPOSIT - REF UTR23179,10403.07,,-46928.65
24-11-2025 09:26:49,UPI-MERCHANT-prachi591@apl-,,22087.28,-24841.37
04-12-2025 19:31:44,UPI/P2M/UTR60058/Reliance F/Payment,8987.23,,-33828.60
10-12-2025 16:49:46,ATM-WDL/CASH/UTR30099,15604.38,,-49432.98
17-12-2025 13:11:29,ATM/CASH-WITHDRAWAL/Txn:UTR65583,,8665.44,-40767.54
18-12-2025 00:55:42,UPI-MERCHANT-9854166051@okhdfcbank-Municipal Corporation,11284.42,,-52051.96
18-12-2025 04:20:46,UPI-MERCHANT-akhil680@ibl-Jio Recharge,6413.92,,-58465.88
30-12-2025 01:32:28,BY CASH DEPOSIT - REF UTR50987,,4991.13,-53474.75
30-12-2025 23:30:18,ATM-WDL/CASH/UTR19843,,19237.49,-34237.26
