Account Statement for: Abhinav Shaikh
Account Number: 943098386915
Registered Phone: 7362895161
----------------------------------------
Date,Narration,Withdrawal,Deposit,Running_Balance
03-01-2025 17:14:06,UPI-MERCHANT-kabir24@ibl-,,3137.34,435720.34
09-01-2025 05:59:13,ATM/CASH-WITHDRAWAL/Txn:UTR50398,6296.66,,429423.68
15-01-2025 17:17:56,UPI-MERCHANT-meenakshi171@okaxis-,,17566.33,446990.01
24-01-2025 10:20:55,ATM-WDL/CASH/UTR55879,,4831.89,451821.90
25-01-2025 02:16:33,CASH-DEP/BRANCH/UTR75011,40973.38,,410848.52
29-01-2025 08:41:49,UPI-MERCHANT-aashi213@axl-,,17579.68,428428.20
30-01-2025 07:26:22,UPI/P2M/UTR99074//Payment,,11248.24,439676.44
31-01-2025 06:22:27,UPI-MERCHANT-daminibanerjee@ibl-Swiggy,15608.89,,424067.55
27-02-2025 06:19:21,ATM/CASH-WITHDRAWAL/Txn:UTR60929,,13029.31,437096.86
07-03-2025 08:42:47,UPI-MERCHANT-sadhana51@axl-Airtel Recharge,7196.58,,429900.28
14-03-2025 04:18:46,UPI-MERCHANT-luv627@axl-Myntra,22695.81,,407204.47
16-03-2025 12:25:32,UPI-MERCHANT-7730626922@oksbi-HP Petrol,20602.34,,386602.13
22-03-2025 10:44:29,ATM/CASH-WITHDRAWAL/Txn:UTR86129,11383.15,,375218.98
02-04-2025 16:33:37,CASH-DEP/BRANCH/UTR97660,23414.22,,351804.76
13-04-2025 13:19:05,BY CASH DEPOSIT - REF UTR51628,9145.08,,342659.68
20-04-2025 07:52:39,CASH-DEP/BRANCH/UTR78782,,44743.79,387403.47
30-04-2025 21:01:52,UPI/P2M/UTR43416/BigBasket/Payment,3421.24,,383982.23
07-05-2025 17:56:00,IMPS-FUNDS-TRF-AYUSH DAVE-UTR45771,,2267.33,386249.56
11-05-2025 06:02:52,BY CASH DEPOSIT - REF UTR62322,,32896.92,419146.48
05-06-2025 19:13:10,ATM-WDL/CASH/UTR25489,,7909.31,427055.79
08-06-2025 13:35:08,UPI/P2M/UTR40028/Amazon/Payment,17764.64,,409291.15
20-06-2025 10:31:50,ATM-WDL/CASH/UTR63094,,9314.17,418605.32
21-06-2025 18:43:17,BY CASH DEPOSIT - REF UTR64858,23273.69,,395331.63
11-07-2025 01:21:31,BY CASH DEPOSIT - REF UTR47942,60711.11,,334620.52
11-07-2025 18:57:57,ATM/CASH-WITHDRAWAL/Txn:UTR25746,,7133.24,341753.76
13-07-2025 22:22:25,BY CASH DEPOSIT - REF UTR34326,33178.94,,308574.82
20-07-2025 00:12:24,BY CASH DEPOSIT - REF UTR63969,71627.41,,236947.41
22-07-2025 00:44:01,BY CASH DEPOSIT - REF UTR80597,43551.90,,193395.51
26-07-2025 08:13:58,ATM/CASH-WITHDRAWAL/Txn:UTR67390,,10560.34,203955.85
30-07-2025 18:50:38,ATM-WDL/CASH/UTR20169,12917.18,,191038.67
06-08-2025 15:48:54,CASH-DEP/BRANCH/UTR64351,44184.93,,146853.74
12-08-2025 03:27:43,ATM/CASH-WITHDRAWAL/Txn:UTR21802,1102.77,,145750.97
17-08-2025 11:12:02,ATM/CASH-WITHDRAWAL/Txn:UTR43512,827.63,,144923.34
19-08-2025 05:13:13,UPI/P2M/UTR88033/Flipkart/Payment,827.50,,144095.84
26-08-2025 11:38:46,UPI-MERCHANT-7264065370@okhdfcbank-,,18485.98,162581.82
28-08-2025 09:07:21,IMPS/P2A/UTR27523/9510486031,11636.85,,150944.97
29-08-2025 03:31:55,BY CASH DEPOSIT - REF UTR45104,,9793.75,160738.72
05-09-2025 04:55:27,BY CASH DEPOSIT - REF UTR48146,35371.98,,125366.74
07-09-2025 17:27:09,ATM-WDL/CASH/UTR54469,5523.41,,119843.33
10-09-2025 13:58:03,ATM/CASH-WITHDRAWAL/Txn:UTR98602,1541.56,,118301.77
11-09-2025 22:19:48,UPI-MERCHANT-7352011739@ibl-Electricity Board,17772.68,,100529.09
15-09-2025 20:40:10,UPI/P2M/UTR30624/Swiggy/Payment,11857.99,,88671.10
17-09-2025 21:40:48,ATM-WDL/CASH/UTR98491,,17906.09,106577.19
22-09-2025 10:56:43,CASH-DEP/BRANCH/UTR97583,45760.38,,60816.81
04-10-2025 23:46:04,ATM/CASH-WITHDRAWAL/Txn:UTR21294,1369.09,,59447.72
17-10-2025 02:57:41,ATM-WDL/CASH/UTR82554,8076.35,,51371.37
17-10-2025 08:29:01,IMPS-FUNDS-TRF-PIYUSH MAL-UTR60922,29843.24,,21528.13
24-10-2025 11:58:50,ATM/CASH-WITHDRAWAL/Txn:UTR37488,4463.07,,17065.06
26-10-2025 10:32:29,CASH-DEP/BRANCH/UTR38227,12647.82,,4417.24
02-11-2025 11:49:56,ATM-WDL/CASH/UTR71182,4755.32,,-338.08
20-11-2025 23:26:29,UPI-MERCHANT-7352011739@ibl-Bharat Petroleum,8455.81,,-8793.89
21-11-2025 01:28:24,UPI-MERCHANT-8068277597@apl-Municipal Corporation,23624.61,,-32418.50
21-11-2025 17:00:45,BY CASH DEPOSIT - REF UTR58598,40569.14,,-72987.64
24-11-2025 05:54:08,ATM-WDL/CASH/UTR69086,17515.79,,-90503.43
26-11-2025 11:40:01,UPI/P2M/UTR61392//Payment,,7311.47,-83191.96
03-12-2025 03:41:20,BY CASH DEPOSIT - REF UTR82747,30403.48,,-113595.44
09-12-2025 03:20:44,BY CASH DEPOSIT - REF UTR11238,,42156.61,-71438.83
12-12-2025 11:32:41,IMPS/P2A/UTR48243/6969007464,,10619.15,-60819.68
16-12-2025 21:51:19,ATM-WDL/CASH/UTR22859,3671.12,,-64490.80
28-12-2025 00:35:19,BY CASH DEPOSIT - REF UTR66081,,106242.24,41751.44
