Account Statement for: Falguni Singh
Account Number: 366554795922
Registered Phone: 7382860002
----------------------------------------
Date,Narration,Withdrawal,Deposit,Running_Balance
02-01-2025 12:47:52,UPI/P2M/UTR15566/Swiggy/Payment,14160.45,,479417.55
18-01-2025 11:13:29,UPI-MERCHANT-bhuvans48@okaxis-Municipal Corporation,17963.56,,461453.99
01-02-2025 10:25:29,ATM-WDL/CASH/UTR84721,,9299.76,470753.75
06-02-2025 20:36:17,ATM-WDL/CASH/UTR30651,13171.44,,457582.31
05-03-2025 01:53:58,UPI-MERCHANT-8227083778@paytm-Reliance Fresh,14657.33,,442924.98
05-03-2025 04:33:56,CASH-DEP/BRANCH/UTR85614,44395.33,,398529.65
09-03-2025 14:19:33,UPI-MERCHANT-8560366101@oksbi-,,108.12,398637.77
22-03-2025 22:08:39,CASH-DEP/BRANCH/UTR26875,41781.82,,356855.95
30-03-2025 11:32:25,IMPS-FUNDS-TRF-NIKHIL SHA-UTR55931,24639.09,,332216.86
02-04-2025 09:08:51,UPI-MERCHANT-7443590444@okaxis-Indian Oil,20293.45,,311923.41
05-04-2025 12:03:07,IMPS/P2A/UTR21801/9035872592,,34946.66,346870.07
09-04-2025 08:07:00,UPI-MERCHANT-mitali809@ibl-Myntra,20343.80,,326526.27
19-04-2025 04:27:41,ATM/CASH-WITHDRAWAL/Txn:UTR75640,,17561.00,344087.27
21-04-2025 08:21:19,ATM/CASH-WITHDRAWAL/Txn:UTR72272,,18474.22,362561.49
22-04-2025 16:24:26,ATM-WDL/CASH/UTR59841,17980.11,,344581.38
23-04-2025 01:45:59,ATM/CASH-WITHDRAWAL/Txn:UTR38579,,9393.59,353974.97
29-04-2025 16:12:43,UPI-MERCHANT-7291957441@okaxis-,,13118.75,367093.72
30-04-2025 15:19:40,BY CASH DEPOSIT - REF UTR28741,45338.90,,321754.82
04-05-2025 05:32:07,IMPS-FUNDS-TRF-AASHISH BO-UTR53751,115432.94,,206321.88
08-05-2025 00:15:12,UPI-MERCHANT-aishwarya655@okhdfcbank-,,6232.30,212554.18
14-05-2025 04:32:23,BY CASH DEPOSIT - REF UTR99813,12338.46,,200215.72
15-05-2025 11:26:43,UPI/P2M/UTR48360//Payment,,21337.01,221552.73
16-05-2025 07:44:14,ATM-WDL/CASH/UTR38782,,19575.11,241127.84
20-05-2025 13:50:36,UPI/P2M/UTR57641/LIC/Payment,4378.73,,236749.11
23-05-2025 09:57:32,ATM-WDL/CASH/UTR11627,,2534.70,239283.81
25-05-2025 19:50:14,TXN-POS-UTR39563-8901293839,18283.08,,221000.73
01-06-2025 11:37:09,IMPS-FUNDS-TRF-DEEPA MENO-UTR19795,,33458.30,254459.03
01-06-2025 22:15:48,ATM/CASH-WITHDRAWAL/Txn:UTR49287,,14161.29,268620.32
26-06-2025 22:31:07,UPI-MERCHANT-akanksha676@paytm-,,475.00,269095.32
29-06-2025 22:49:10,IMPS-FUNDS-TRF-SHILPA KRI-UTR69076,41757.31,,227338.01
02-07-2025 22:48:47,UPI/P2M/UTR25393//Payment,,11967.65,239305.66
19-07-2025 04:33:10,ATM/CASH-WITHDRAWAL/Txn:UTR43680,9701.83,,229603.83
28-07-2025 07:36:46,BY CASH DEPOSIT - REF UTR30048,17863.35,,211740.48
01-08-2025 11:27:47,ATM-WDL/CASH/UTR38040,4278.56,,207461.92
08-08-2025 12:56:45,IMPS/P2A/UTR92115/6801311677,,21189.76,228651.68
12-08-2025 17:04:12,BY CASH DEPOSIT - REF UTR20500,41397.62,,187254.06
18-08-2025 13:42:51,ATM-WDL/CASH/UTR98179,,8247.76,195501.82
18-08-2025 19:39:39,ATM/CASH-WITHDRAWAL/Txn:UTR20204,2110.79,,193391.03
20-08-2025 19:29:54,ATM-WDL/CASH/UTR89029,14967.43,,178423.60
31-08-2025 14:11:54,BY CASH DEPOSIT - REF UTR82307,6013.32,,172410.28
08-09-2025 03:16:55,IMPS-FUNDS-TRF-LEELA GUPT-UTR92729,65197.51,,107212.77
18-09-2025 03:02:46,UPI-MERCHANT-chandani600@okhdfcbank-BigBasket,12532.33,,94680.44
14-10-2025 04:33:28,UPI/P2M/UTR84416/Uber/Payment,5151.55,,89528.89
19-10-2025 11:33:00,ATM-WDL/CASH/UTR82508,1166.05,,88362.84
22-10-2025 20:31:16,ATM/CASH-WITHDRAWAL/Txn:UTR91957,8195.25,,80167.59
26-10-2025 23:11:07,UPI-MERCHANT-deepti458@apl-,,7321.91,87489.50
18-11-2025 16:57:39,UPI/P2M/UTR25406//Payment,,13535.36,101024.86
21-11-2025 10:54:14,CASH-DEP/BRANCH/UTR38734,17525.53,,83499.33
21-11-2025 13:29:23,ATM/CASH-WITHDRAWAL/Txn:UTR14574,15132.13,,68367.20
22-11-2025 17:58:41,BY CASH DEPOSIT - REF UTR38834,41712.45,,26654.75
22-11-2025 21:50:35,CASH-DEP/BRANCH/UTR77800,35367.13,,-8712.38
26-11-2025 12:26:24,UPI-MERCHANT-ruchis54@ibl-BigBasket,12977.66,,-21690.04
08-12-2025 06:52:28,CASH-DEP/BRANCH/UTR31735,13227.76,,-34917.80
18-12-2025 03:33:03,ATM/CASH-WITHDRAWAL/Txn:UTR22406,17585.68,,-52503.48
19-12-2025 00:22:48,ATM-WDL/CASH/UTR26637,,6520.97,-45982.51
19-12-2025 20:32:11,UPI/P2M/UTR23514/Uber/Payment,552.79,,-46535.30
30-12-2025 20:53:52,IMPS/P2A/UTR80460/6199842463,83226.73,,-129762.03
31-12-2025 02:39:48,UPI/P2M/UTR44804/Electricit/Payment,6565.84,,-136327.87
