Account Statement for: Kaushik Kalita
Account Number: 116071459130
Registered Phone: 7394155665
----------------------------------------
Date,Narration,Withdrawal,Deposit,Running_Balance
10-01-2025 13:24:57,ATM/CASH-WITHDRAWAL/Txn:UTR26886,,10563.50,72971.50
02-02-2025 20:32:43,IMPS-FUNDS-TRF-SUSHMA KOH-UTR35016,,4371.44,77342.94
07-02-2025 16:24:19,CASH-DEP/BRANCH/UTR46026,,12323.22,89666.16
24-02-2025 06:41:50,BY CASH DEPOSIT - REF UTR70555,,144275.89,233942.05
10-03-2025 08:48:42,ATM/CASH-WITHDRAWAL/Txn:UTR77874,15756.74,,218185.31
24-03-2025 02:01:24,UPI/P2M/UTR41772/Municipal /Payment,13177.63,,205007.68
20-04-2025 09:14:23,UPI/P2M/UTR42728//Payment,,15813.28,220820.96
22-04-2025 19:15:47,UPI-MERCHANT-ishanik29@paytm-,,1570.01,222390.97
06-05-2025 11:28:19,ATM/CASH-WITHDRAWAL/Txn:UTR57421,,8601.61,230992.58
27-05-2025 12:48:09,CASH-DEP/BRANCH/UTR83828,,43881.60,274874.18
28-05-2025 06:53:37,IMPS-FUNDS-TRF-GAURAV GUP-UTR77664,19069.06,,255805.12
06-06-2025 03:07:17,UPI/P2M/UTR44287/Electricit/Payment,6701.21,,249103.91
09-06-2025 07:06:33,UPI/P2M/UTR85534//Payment,,16119.81,265223.72
12-06-2025 12:54:39,ATM/CASH-WITHDRAWAL/Txn:UTR42218,5116.39,,260107.33
13-06-2025 11:34:00,UPI-REV/9668331917/GEETANJA/UTR77874,45215.00,,214892.33
17-06-2025 05:16:38,IMPS-FUNDS-TRF-HARI MENON-UTR98221,9553.51,,205338.82
21-06-2025 11:06:44,CASH-DEP/BRANCH/UTR30556,7354.20,,197984.62
22-06-2025 05:57:58,ATM-WDL/CASH/UTR35254,,12286.95,210271.57
09-07-2025 00:40:13,IMPS-FUNDS-TRF-AASHISH MO-UTR53789,21337.90,,188933.67
20-07-2025 18:39:54,UPI/P2M/UTR86742/BigBasket/Payment,12799.90,,176133.77
27-07-2025 23:15:40,UPI/P2M/UTR30074//Payment,,23830.46,199964.23
25-08-2025 03:43:58,IMPS/P2A/UTR85605/7623359882,,27660.84,227625.07
11-09-2025 19:27:15,ATM/CASH-WITHDRAWAL/Txn:UTR37057,,15531.13,243156.20
25-09-2025 05:28:01,UPI-MERCHANT-7327775699@okhdfcbank-,,5064.05,248220.25
02-10-2025 15:24:32,UPI/P2M/UTR16168/Amazon/Payment,3870.38,,244349.87
08-10-2025 13:18:45,UPI-REV/7830331812/NIVEDITA/UTR51058,,8491.53,252841.40
09-10-2025 15:43:33,ATM-WDL/CASH/UTR72831,6834.45,,246006.95
20-10-2025 03:36:16,BY CASH DEPOSIT - REF UTR48653,29308.29,,216698.66
25-10-2025 04:32:17,CASH-DEP/BRANCH/UTR36134,,26096.67,242795.33
26-10-2025 23:48:42,BY CASH DEPOSIT - REF UTR48186,,27395.38,270190.71
28-10-2025 08:54:35,BY CASH DEPOSIT - REF UTR97634,35656.74,,234533.97
05-11-2025 09:49:41,CASH-DEP/BRANCH/UTR28790,,26820.80,261354.77
08-11-2025 06:08:18,UPI-MERCHANT-lalitp40@okaxis-,,23902.51,285257.28
13-11-2025 03:25:39,ATM/CASH-WITHDRAWAL/Txn:UTR33217,,17747.56,303004.84
28-11-2025 19:51:54,ATM/CASH-WITHDRAWAL/Txn:UTR75328,,19394.84,322399.68
14-12-2025 04:07:23,UPI/P2M/UTR66022/Flipkart/Payment,13229.54,,309170.14
20-12-2025 20:26:14,UPI-MERCHANT-chetan282@axl-Myntra,6687.38,,302482.76
