Account Statement for: Gaurav Ali
Account Number: 119964399412
Registered Phone: 8055489328
----------------------------------------
Date,Narration,Withdrawal,Deposit,Running_Balance
13-01-2025 09:00:41,ATM/CASH-WITHDRAWAL/Txn:UTR43005,8454.17,,38576.83
15-01-2025 12:48:28,ATM-WDL/CASH/UTR68290,,5525.32,44102.15
23-01-2025 04:47:28,UPI/P2M/UTR57396/BookMyShow/Payment,20883.20,,23218.95
28-01-2025 03:25:26,CASH-DEP/BRANCH/UTR99195,,36922.85,60141.80
28-01-2025 11:14:13,UPI/P2M/UTR26962//Payment,,12079.48,72221.28
08-02-2025 21:00:26,UPI-MERCHANT-pranaybarik@ybl-BookMyShow,7758.05,,64463.23
15-02-2025 21:37:50,ATM/CASH-WITHDRAWAL/Txn:UTR23951,19653.38,,44809.85
16-02-2025 16:52:47,UPI/P2M/UTR75267/Blinkit/Payment,9030.33,,35779.52
17-02-2025 04:29:57,ATM/CASH-WITHDRAWAL/Txn:UTR12040,,3747.17,39526.69
19-02-2025 22:30:08,UPI/P2M/UTR96585/BookMyShow/Payment,6344.07,,33182.62
25-02-2025 00:45:10,UPI/P2M/UTR54831//Payment,,3176.72,36359.34
25-02-2025 09:36:54,ATM-WDL/CASH/UTR33914,,415.11,36774.45
01-03-2025 05:30:26,CASH-DEP/BRANCH/UTR27944,142915.51,,-106141.06
26-03-2025 20:34:29,IMPS/P2A/UTR57201/8330734560,42373.03,,-148514.09
14-04-2025 20:37:51,CASH-DEP/BRANCH/UTR42225,21114.77,,-169628.86
17-04-2025 23:28:45,BY CASH DEPOSIT - REF UTR23117,43001.79,,-212630.65
15-05-2025 11:26:27,ATM-WDL/CASH/UTR17055,,864.70,-211765.95
16-05-2025 22:57:50,UPI/P2M/UTR43640//Payment,,19306.55,-192459.40
20-05-2025 00:11:42,BY CASH DEPOSIT - REF UTR50426,11867.21,,-204326.61
23-05-2025 12:32:26,UPI/P2M/UTR98928/DMart/Payment,6218.01,,-210544.62
25-05-2025 13:39:37,ATM/CASH-WITHDRAWAL/Txn:UTR43886,11848.51,,-222393.13
28-05-2025 06:36:05,BY CASH DEPOSIT - REF UTR12464,,10032.42,-212360.71
08-06-2025 09:07:16,ATM-WDL/CASH/UTR51929,,1094.27,-211266.44
23-06-2025 03:22:32,UPI/P2M/UTR82920//Payment,,23637.45,-187628.99
01-07-2025 11:22:09,ATM-WDL/CASH/UTR90324,18427.37,,-206056.36
01-07-2025 19:38:33,TXN-POS-UTR17549-9779974458,499756.53,,-705812.89
04-07-2025 06:52:17,ATM-WDL/CASH/UTR80140,18337.43,,-724150.32
07-07-2025 16:26:09,TXN-POS-UTR97012-7746981587,13377.20,,-737527.52
08-07-2025 11:03:45,ATM/CASH-WITHDRAWAL/Txn:UTR95698,13471.88,,-750999.40
10-07-2025 15:47:14,ATM/CASH-WITHDRAWAL/Txn:UTR82689,,7961.59,-743037.81
12-07-2025 01:30:27,UPI/P2M/UTR61244/Electricit/Payment,20716.20,,-763754.01
13-07-2025 02:30:08,ATM/CASH-WITHDRAWAL/Txn:UTR75661,,12813.62,-750940.39
16-07-2025 05:02:10,UPI/P2M/UTR54818/Apollo Pha/Payment,18316.49,,-769256.88
23-07-2025 03:02:00,UPI/P2M/UTR56752/Airtel Rec/Payment,12840.16,,-782097.04
26-07-2025 06:25:36,IMPS-FUNDS-TRF-AKHILA ALI-UTR61401,,46530.70,-735566.34
01-08-2025 22:04:21,ATM-WDL/CASH/UTR50407,7525.44,,-743091.78
03-08-2025 06:04:08,ATM/CASH-WITHDRAWAL/Txn:UTR43352,131.27,,-743223.05
14-08-2025 14:10:14,ATM-WDL/CASH/UTR44404,,13653.27,-729569.78
30-08-2025 02:33:24,BY CASH DEPOSIT - REF UTR33929,47691.02,,-777260.80
11-09-2025 22:24:25,BY CASH DEPOSIT - REF UTR92168,20296.14,,-797556.94
13-09-2025 01:53:56,UPI/P2M/UTR93169/Amazon/Payment,22558.68,,-820115.62
14-09-2025 10:41:29,UPI-MERCHANT-8025716731@ybl-LIC,17393.32,,-837508.94
15-09-2025 18:00:14,IMPS-FUNDS-TRF-RASHMI GIL-UTR54883,,24972.62,-812536.32
18-09-2025 22:22:44,UPI-MERCHANT-naman366@axl-,,10341.06,-802195.26
20-09-2025 19:40:28,UPI/P2M/UTR54458/Bharat Pet/Payment,14671.80,,-816867.06
21-09-2025 20:31:26,ATM-WDL/CASH/UTR86978,10154.47,,-827021.53
14-10-2025 08:11:23,UPI-MERCHANT-riyap48@ybl-Flipkart,3442.73,,-830464.26
27-10-2025 15:01:58,CASH-DEP/BRANCH/UTR65488,,21112.70,-809351.56
03-11-2025 06:57:26,CASH-DEP/BRANCH/UTR11837,7835.25,,-817186.81
15-11-2025 00:43:03,ATM-WDL/CASH/UTR25692,12088.88,,-829275.69
02-12-2025 03:39:00,ATM-WDL/CASH/UTR78279,13717.02,,-842992.71
07-12-2025 08:41:05,ATM-WDL/CASH/UTR91945,17724.08,,-860716.79
08-12-2025 17:57:13,ATM/CASH-WITHDRAWAL/Txn:UTR82174,29997.55,,-890714.34
16-12-2025 06:40:56,UPI/P2M/UTR25649/Electricit/Payment,12303.69,,-903018.03
21-12-2025 22:48:24,UPI-MERCHANT-inderr@ibl-Ola,24698.86,,-927716.89
