Account Statement for: Damini Shetty
Account Number: 749445028286
Registered Phone: 8597804386
----------------------------------------
Date,Narration,Withdrawal,Deposit,Running_Balance
04-01-2025 21:06:49,UPI/P2M/UTR62202/Myntra/Payment,6152.01,,423682.99
06-01-2025 14:50:41,IMPS/P2A/UTR83779/8764617650,40498.43,,383184.56
08-01-2025 05:35:02,IMPS/P2A/UTR22975/7072123291,,31855.22,415039.78
08-01-2025 14:55:46,ATM/CASH-WITHDRAWAL/Txn:UTR10669,,4299.46,419339.24
09-01-2025 21:45:36,CASH-DEP/BRANCH/UTR98063,,22719.44,442058.68
16-01-2025 02:10:53,ATM/CASH-WITHDRAWAL/Txn:UTR44085,,16848.01,458906.69
23-01-2025 21:05:32,UPI/P2M/UTR62083//Payment,,19379.60,478286.29
02-02-2025 09:55:37,ATM/CASH-WITHDRAWAL/Txn:UTR73323,36637.10,,441649.19
08-02-2025 10:44:11,ATM-WDL/CASH/UTR12304,,13618.75,455267.94
08-02-2025 19:06:05,ATM/CASH-WITHDRAWAL/Txn:UTR24120,,19929.73,475197.67
09-02-2025 02:14:28,BY CASH DEPOSIT - REF UTR64269,121233.89,,353963.78
20-02-2025 21:03:13,UPI/P2M/UTR33291/Blinkit/Payment,7338.41,,346625.37
23-02-2025 01:51:13,BY CASH DEPOSIT - REF UTR34636,16163.35,,330462.02
07-03-2025 11:59:45,ATM/CASH-WITHDRAWAL/Txn:UTR21907,,3302.92,333764.94
17-03-2025 20:13:22,ATM/CASH-WITHDRAWAL/Txn:UTR66943,,10003.82,343768.76
28-03-2025 09:48:29,UPI-MERCHANT-deepa326@apl-Water Board,24722.86,,319045.90
01-04-2025 19:34:38,CASH-DEP/BRANCH/UTR49957,,12819.91,331865.81
06-04-2025 19:07:03,UPI/P2M/UTR83159//Payment,,21960.47,353826.28
24-04-2025 19:15:53,CASH-DEP/BRANCH/UTR36688,,26482.11,380308.39
01-05-2025 20:42:59,UPI-MERCHANT-parthkar@okaxis-Blinkit,5885.21,,374423.18
06-05-2025 03:21:55,CASH-DEP/BRANCH/UTR77225,11020.26,,363402.92
10-05-2025 23:11:47,IMPS-FUNDS-TRF-ANITA KHAN-UTR27359,8350.77,,355052.15
12-05-2025 05:49:52,ATM/CASH-WITHDRAWAL/Txn:UTR68909,19751.94,,335300.21
13-05-2025 20:44:03,ATM/CASH-WITHDRAWAL/Txn:UTR45507,5336.16,,329964.05
15-05-2025 19:43:03,ATM-WDL/CASH/UTR32771,,15706.04,345670.09
31-05-2025 21:18:55,BY CASH DEPOSIT - REF UTR71620,43338.23,,302331.86
03-06-2025 15:50:28,ATM/CASH-WITHDRAWAL/Txn:UTR16180,15980.11,,286351.75
12-06-2025 12:46:48,UPI-MERCHANT-omkarwork@oksbi-HP Petrol,621.91,,285729.84
13-06-2025 22:18:54,BY CASH DEPOSIT - REF UTR37936,24538.44,,261191.40
19-06-2025 10:24:15,ATM-WDL/CASH/UTR84611,449.11,,260742.29
22-06-2025 00:33:55,UPI/P2M/UTR92425//Payment,,21975.19,282717.48
28-06-2025 06:46:28,BY CASH DEPOSIT - REF UTR64018,11493.48,,271224.00
29-06-2025 16:59:49,UPI-MERCHANT-9630217946@ibl-,,13694.77,284918.77
30-06-2025 09:54:50,UPI/P2M/UTR70486/Zomato/Payment,12076.05,,272842.72
01-07-2025 00:49:44,UPI-MERCHANT-pratik880@paytm-,,20642.63,293485.35
03-07-2025 07:50:34,IMPS-FUNDS-TRF-BHUVAN BHA-UTR10486,46571.56,,246913.79
09-07-2025 02:25:42,UPI/P2M/UTR42508//Payment,,5292.68,252206.47
09-07-2025 16:18:55,ATM-WDL/CASH/UTR78153,2720.05,,249486.42
09-07-2025 18:48:09,ATM/CASH-WITHDRAWAL/Txn:UTR89164,,10679.69,260166.11
16-07-2025 16:23:43,UPI/P2M/UTR42702/IRCTC/Payment,22511.41,,237654.70
19-07-2025 14:54:24,UPI-MERCHANT-6374453210@okhdfcbank-,,1897.66,239552.36
24-07-2025 05:06:44,ATM-WDL/CASH/UTR98683,2212.81,,237339.55
25-07-2025 05:47:14,UPI/P2M/UTR16723/MedPlus/Payment,21034.29,,216305.26
25-07-2025 11:40:17,BY CASH DEPOSIT - REF UTR29887,6763.61,,209541.65
26-07-2025 20:40:39,ATM-WDL/CASH/UTR24924,,30068.31,239609.96
27-07-2025 21:43:33,ATM/CASH-WITHDRAWAL/Txn:UTR27674,9097.28,,230512.68
01-08-2025 02:38:48,IMPS-FUNDS-TRF-AKHIL SAWA-UTR37534,33209.90,,197302.78
03-08-2025 12:37:14,ATM-WDL/CASH/UTR75475,2060.00,,195242.78
03-08-2025 16:22:35,BY CASH DEPOSIT - REF UTR92184,,9782.94,205025.72
18-08-2025 20:18:18,UPI/P2M/UTR50179//Payment,,18393.46,223419.18
28-08-2025 20:24:09,BY CASH DEPOSIT - REF UTR36169,,46304.73,269723.91
30-08-2025 12:40:53,UPI-MERCHANT-damini@ybl-,,14079.86,283803.77
02-09-2025 02:11:42,ATM/CASH-WITHDRAWAL/Txn:UTR60275,,7083.16,290886.93
