Account Statement for: Saloni Krishnan
Account Number: 176667760525
Registered Phone: 8656840206
----------------------------------------
Date,Narration,Withdrawal,Deposit,Running_Balance
01-01-2025 22:02:23,IMPS-FUNDS-TRF-HEMALATHA -UTR84915,6040.91,,168025.09
04-01-2025 22:05:14,ATM-WDL/CASH/UTR40031,4688.06,,163337.03
05-01-2025 17:45:15,UPI/P2M/UTR72216//Payment,,15273.20,178610.23
10-01-2025 18:31:36,UPI/P2M/UTR20351//Payment,,11221.55,189831.78
12-01-2025 00:00:40,UPI-MERCHANT-aditya297@axl-Indian Oil,6311.73,,183520.05
16-01-2025 01:36:37,ATM/CASH-WITHDRAWAL/Txn:UTR44184,10349.25,,173170.80
31-01-2025 11:26:20,UPI-MERCHANT-6067585373@axl-Electricity Board,23830.53,,149340.27
22-02-2025 21:35:54,ATM-WDL/CASH/UTR44960,18937.39,,130402.88
02-03-2025 09:48:39,BY CASH DEPOSIT - REF UTR51550,,30064.59,160467.47
13-03-2025 01:03:01,ATM-WDL/CASH/UTR86201,,3799.41,164266.88
14-03-2025 17:54:13,BY CASH DEPOSIT - REF UTR63241,34320.57,,129946.31
23-03-2025 08:20:23,ATM-WDL/CASH/UTR18516,,16247.73,146194.04
24-03-2025 11:22:38,CASH-DEP/BRANCH/UTR58741,,133047.47,279241.51
24-03-2025 22:15:28,ATM/CASH-WITHDRAWAL/Txn:UTR49036,,547.83,279789.34
26-03-2025 06:22:03,UPI-MERCHANT-8859140131@okaxis-LIC,265.91,,279523.43
03-04-2025 13:47:27,BY CASH DEPOSIT - REF UTR29261,41334.10,,238189.33
03-04-2025 22:12:39,ATM-WDL/CASH/UTR10534,,39677.08,277866.41
17-04-2025 19:03:22,ATM-WDL/CASH/UTR49308,,14358.12,292224.53
29-04-2025 19:09:19,BY CASH DEPOSIT - REF UTR79700,22223.06,,270001.47
03-05-2025 17:00:02,ATM/CASH-WITHDRAWAL/Txn:UTR83915,13187.96,,256813.51
05-05-2025 18:24:11,UPI/P2M/UTR94109/Blinkit/Payment,11156.60,,245656.91
14-05-2025 08:14:21,CASH-DEP/BRANCH/UTR36812,,19589.61,265246.52
18-05-2025 05:23:35,IMPS-FUNDS-TRF-ANIKA PATE-UTR94173,,3082.51,268329.03
27-05-2025 20:58:31,UPI-MERCHANT-aliachawla@ybl-Uber,16132.46,,252196.57
28-05-2025 11:29:49,CASH-DEP/BRANCH/UTR17937,,20940.99,273137.56
07-06-2025 05:19:42,UPI-MERCHANT-8703981944@okhdfcbank-,,24274.84,297412.40
19-06-2025 00:37:41,IMPS-FUNDS-TRF-SARITA MOR-UTR46361,,35708.55,333120.95
23-06-2025 05:58:23,UPI/P2M/UTR86853//Payment,,23905.98,357026.93
24-06-2025 02:54:50,UPI/P2M/UTR36410/Bharat Pet/Payment,8962.79,,348064.14
05-07-2025 03:56:38,UPI-MERCHANT-7956715869@axl-Income Tax,12568.49,,335495.65
09-07-2025 08:09:38,ATM-WDL/CASH/UTR88970,15546.84,,319948.81
15-07-2025 12:49:01,ATM-WDL/CASH/UTR92497,,7811.60,327760.41
21-07-2025 15:10:11,ATM/CASH-WITHDRAWAL/Txn:UTR95899,13441.00,,314319.41
29-07-2025 21:00:02,BY CASH DEPOSIT - REF UTR21002,,14687.29,329006.70
08-08-2025 03:13:26,UPI-MERCHANT-niravd58@okaxis-,,3056.74,332063.44
11-08-2025 03:21:06,ATM/CASH-WITHDRAWAL/Txn:UTR14336,11377.94,,320685.50
11-08-2025 21:36:03,UPI-MERCHANT-sahilwork@oksbi-IRCTC,303.13,,320382.37
23-08-2025 22:07:37,ATM-WDL/CASH/UTR24818,,10207.66,330590.03
24-08-2025 17:15:36,ATM/CASH-WITHDRAWAL/Txn:UTR43001,11247.93,,319342.10
24-08-2025 18:59:29,UPI/P2M/UTR79198/IRCTC/Payment,7744.73,,311597.37
24-08-2025 23:27:50,ATM-WDL/CASH/UTR78240,16132.93,,295464.44
29-08-2025 04:20:59,CASH-DEP/BRANCH/UTR74827,21006.39,,274458.05
29-08-2025 05:11:19,IMPS-FUNDS-TRF-RAMAN FERN-UTR65983,,166248.86,440706.91
11-09-2025 13:10:15,ATM/CASH-WITHDRAWAL/Txn:UTR32728,,17628.67,458335.58
12-09-2025 00:33:52,UPI/P2M/UTR17847//Payment,,22093.14,480428.72
12-09-2025 10:42:38,CASH-DEP/BRANCH/UTR94356,85822.33,,394606.39
17-09-2025 13:43:09,ATM/CASH-WITHDRAWAL/Txn:UTR49296,8540.48,,386065.91
22-09-2025 02:51:49,UPI-MERCHANT-9620828570@paytm-Myntra,1840.05,,384225.86
24-09-2025 19:20:04,ATM/CASH-WITHDRAWAL/Txn:UTR68603,12369.40,,371856.46
11-10-2025 08:15:11,ATM-WDL/CASH/UTR38043,,14047.55,385904.01
18-10-2025 18:37:58,UPI-MERCHANT-avinash586@axl-Airtel Recharge,6475.03,,379428.98
20-10-2025 22:34:53,ATM-WDL/CASH/UTR33707,2313.78,,377115.20
04-11-2025 21:05:08,ATM-WDL/CASH/UTR24185,,18981.58,396096.78
10-11-2025 04:53:56,ATM-WDL/CASH/UTR39460,7589.33,,388507.45
13-11-2025 19:42:12,ATM/CASH-WITHDRAWAL/Txn:UTR22265,7123.81,,381383.64
