Account Statement for: Jitesh Hegde
Account Number: 670880156738
Registered Phone: 9581832048
----------------------------------------
Date,Narration,Withdrawal,Deposit,Running_Balance
04-01-2025 10:15:40,UPI-MERCHANT-nakulp26@oksbi-Blinkit,8249.85,,351546.15
04-01-2025 10:27:26,ATM-WDL/CASH/UTR20081,,15624.17,367170.32
17-01-2025 06:53:18,UPI/P2M/UTR60334/DMart/Payment,16784.09,,350386.23
21-01-2025 14:17:27,CASH-DEP/BRANCH/UTR23246,,40656.06,391042.29
24-01-2025 16:50:00,ATM-WDL/CASH/UTR57456,2536.72,,388505.57
02-02-2025 09:21:01,IMPS/P2A/UTR56425/9594849368,,148490.37,536995.94
08-02-2025 00:00:02,ATM/CASH-WITHDRAWAL/Txn:UTR41665,,5334.81,542330.75
10-02-2025 15:45:23,ATM-WDL/CASH/UTR54552,,600.67,542931.42
12-02-2025 16:46:36,CASH-DEP/BRANCH/UTR73639,,8308.12,551239.54
27-02-2025 13:12:35,ATM-WDL/CASH/UTR18098,5825.59,,545413.95
28-02-2025 20:45:12,UPI-MERCHANT-bsen@oksbi-DMart,21335.26,,524078.69
10-03-2025 02:33:30,BY CASH DEPOSIT - REF UTR49977,27876.82,,496201.87
12-03-2025 06:18:26,BY CASH DEPOSIT - REF UTR67137,30106.21,,466095.66
13-03-2025 20:49:41,ATM-WDL/CASH/UTR37746,19996.81,,446098.85
15-03-2025 02:20:11,UPI-MERCHANT-8697421639@oksbi-,,10215.62,456314.47
17-03-2025 08:44:52,ATM-WDL/CASH/UTR62473,16103.59,,440210.88
17-03-2025 12:16:20,UPI/P2M/UTR24772/MedPlus/Payment,19703.85,,420507.03
18-03-2025 14:47:24,UPI/P2M/UTR96318//Payment,,1401.09,421908.12
27-03-2025 10:43:19,UPI/P2M/UTR69456//Payment,,20697.14,442605.26
03-04-2025 00:23:57,UPI/P2M/UTR52860/Water Boar/Payment,15357.15,,427248.11
05-04-2025 05:25:25,ATM/CASH-WITHDRAWAL/Txn:UTR97183,198.08,,427050.03
11-04-2025 11:06:51,ATM/CASH-WITHDRAWAL/Txn:UTR33315,7066.73,,419983.30
18-04-2025 05:09:54,UPI-MERCHANT-9354635446@paytm-Water Board,14703.95,,405279.35
21-04-2025 19:25:11,BY CASH DEPOSIT - REF UTR15774,20124.78,,385154.57
25-04-2025 01:24:25,UPI/P2M/UTR75088//Payment,,3845.11,388999.68
07-05-2025 13:56:53,UPI/P2M/UTR84509/Amazon/Payment,15227.76,,373771.92
08-05-2025 22:59:45,ATM-WDL/CASH/UTR26665,14630.13,,359141.79
23-05-2025 03:10:56,ATM-WDL/CASH/UTR62949,12205.61,,346936.18
04-06-2025 14:12:10,BY CASH DEPOSIT - REF UTR87612,,48981.11,395917.29
07-06-2025 19:05:34,UPI/P2M/UTR72640/Apollo Pha/Payment,4352.00,,391565.29
10-06-2025 17:33:22,UPI/P2M/UTR26499//Payment,,23624.67,415189.96
13-06-2025 10:50:47,ATM/CASH-WITHDRAWAL/Txn:UTR57087,14453.07,,400736.89
20-06-2025 04:02:06,UPI/P2M/UTR91618/Blinkit/Payment,19557.73,,381179.16
24-06-2025 19:21:21,IMPS/P2A/UTR21339/8927870088,44621.58,,336557.58
27-06-2025 00:55:28,UPI/P2M/UTR63821//Payment,,5751.25,342308.83
05-07-2025 17:39:37,ATM/CASH-WITHDRAWAL/Txn:UTR45799,5168.22,,337140.61
07-07-2025 01:08:01,UPI-MERCHANT-piyush593@paytm-Municipal Corporation,8636.19,,328504.42
11-07-2025 13:56:20,CASH-DEP/BRANCH/UTR26540,28910.64,,299593.78
20-08-2025 12:36:34,UPI/P2M/UTR38046/Uber/Payment,3905.79,,295687.99
27-08-2025 17:20:50,ATM-WDL/CASH/UTR95719,,18352.77,314040.76
05-09-2025 05:52:12,ATM-WDL/CASH/UTR98441,,13745.78,327786.54
06-09-2025 07:40:09,IMPS-FUNDS-TRF-SNEHA BISH-UTR59041,,157779.13,485565.67
06-09-2025 16:24:51,UPI/P2M/UTR11306/Flipkart/Payment,19017.55,,466548.12
17-09-2025 01:51:28,IMPS/P2A/UTR59242/8395935805,15130.12,,451418.00
02-10-2025 20:25:38,IMPS-FUNDS-TRF-NIVEDITA M-UTR81851,,31495.88,482913.88
04-10-2025 00:24:31,IMPS-FUNDS-TRF-HIMANI PAR-UTR36747,,5053.51,487967.39
15-10-2025 00:59:53,CASH-DEP/BRANCH/UTR77726,44869.78,,443097.61
18-10-2025 08:31:19,UPI/P2M/UTR84528//Payment,,8294.44,451392.05
